mfd_tree_name,branch_id,branch_weight,mfd_type,magnitude,annual_rate,a_parameter,b_parameter,minimum_magnitude,maximum_magnitude,magnitude_increment
full-bottom,M1,0.334,SINGLE,8.85,0.0019,,,,,
full-bottom,M2,0.333,SINGLE,9.01,0.0019,,,,,
full-bottom,M3,0.333,SINGLE,9.34,0.0019,,,,,
full-middle,M1,0.334,SINGLE,8.69,0.0019,,,,,
full-middle,M2,0.333,SINGLE,8.82,0.0019,,,,,
full-middle,M3,0.333,SINGLE,9.12,0.0019,,,,,
full-top,M1,0.334,SINGLE,8.61,0.0019,,,,,
full-top,M2,0.333,SINGLE,8.72,0.0019,,,,,
full-top,M3,0.333,SINGLE,9.01,0.0019,,,,,
segmented-1-2-3-bottom,M1,0.334,SINGLE,8.65,0.0001739,,,,,
segmented-1-2-3-bottom,M2,0.333,SINGLE,8.77,0.0001739,,,,,
segmented-1-2-3-bottom,M3,0.333,SINGLE,9.07,0.0001739,,,,,
segmented-1-2-3-middle,M1,0.334,SINGLE,8.44,0.0001739,,,,,
segmented-1-2-3-middle,M2,0.333,SINGLE,8.53,0.0001739,,,,,
segmented-1-2-3-middle,M3,0.333,SINGLE,8.78,0.0001739,,,,,
segmented-1-2-3-top,M1,0.334,SINGLE,8.37,0.0001739,,,,,
segmented-1-2-3-top,M2,0.333,SINGLE,8.44,0.0001739,,,,,
segmented-1-2-3-top,M3,0.333,SINGLE,8.68,0.0001739,,,,,
segmented-1-2-bottom,M1,0.334,SINGLE,8.55,0.0003913,,,,,
segmented-1-2-bottom,M2,0.333,SINGLE,8.65,0.0003913,,,,,
segmented-1-2-bottom,M3,0.333,SINGLE,8.92,0.0003913,,,,,
segmented-1-2-middle,M1,0.334,SINGLE,8.33,0.0003913,,,,,
segmented-1-2-middle,M2,0.333,SINGLE,8.39,0.0003913,,,,,
segmented-1-2-middle,M3,0.333,SINGLE,8.62,0.0003913,,,,,
segmented-1-2-top,M1,0.334,SINGLE,8.25,0.0003913,,,,,
segmented-1-2-top,M2,0.333,SINGLE,8.3,0.0003913,,,,,
segmented-1-2-top,M3,0.333,SINGLE,8.52,0.0003913,,,,,
segmented-1-bottom,M1,0.334,SINGLE,8.42,0.0004348,,,,,
segmented-1-bottom,M2,0.333,SINGLE,8.5,0.0004348,,,,,
segmented-1-bottom,M3,0.333,SINGLE,8.75,0.0004348,,,,,
segmented-1-middle,M1,0.334,SINGLE,8.19,0.0004348,,,,,
segmented-1-middle,M2,0.333,SINGLE,8.22,0.0004348,,,,,
segmented-1-middle,M3,0.333,SINGLE,8.43,0.0004348,,,,,
segmented-1-top,M1,0.334,SINGLE,8.11,0.0004348,,,,,
segmented-1-top,M2,0.333,SINGLE,8.13,0.0004348,,,,,
segmented-1-top,M3,0.333,SINGLE,8.32,0.0004348,,,,,
segmented-4-bottom,M1,0.334,SINGLE,8.54,0.001,,,,,
segmented-4-bottom,M2,0.333,SINGLE,8.64,0.001,,,,,
segmented-4-bottom,M3,0.333,SINGLE,8.91,0.001,,,,,
segmented-4-middle,M1,0.334,SINGLE,8.43,0.001,,,,,
segmented-4-middle,M2,0.333,SINGLE,8.52,0.001,,,,,
segmented-4-middle,M3,0.333,SINGLE,8.77,0.001,,,,,
segmented-4-top,M1,0.334,SINGLE,8.34,0.001,,,,,
segmented-4-top,M2,0.333,SINGLE,8.4,0.001,,,,,
segmented-4-top,M3,0.333,SINGLE,8.63,0.001,,,,,
unsegmented,B0,0.5,GR,,,-3.90309,0.0,7.95,8.75,0.1
unsegmented,B1,0.5,GR,,,4.388115,1.0,7.95,8.75,0.1
