geometry_branch,geometry_weight,rupture_family,partial_model_branch,partial_model_weight,rupture_extent,extent_weight,source_scale,rupture_set_name,rupture_set_id,sections,number_of_sections,mfd_tree_name,rupture_set_path,epistemic_weight_before_mfd
bottom,0.3,full,not_applicable,1.0,sections-1-2-3-4,1.0,1.0,"Cascadia (full, bottom)",3170,3110|3120|3130|3140,4,full-bottom,subduction/interface/Cascadia/bottom/full-rupture/rupture-set.json,0.3
bottom,0.3,partial,segmented,0.5,section-1,1.0,1.2,"Cascadia (segmented, 1, bottom)",3110,3110,1,segmented-1-bottom,subduction/interface/Cascadia/bottom/partial-rupture/segmented/section-1/rupture-set.json,0.15
bottom,0.3,partial,segmented,0.5,section-4,1.0,0.25,"Cascadia (segmented, 4, bottom)",3140,3140,1,segmented-4-bottom,subduction/interface/Cascadia/bottom/partial-rupture/segmented/section-4/rupture-set.json,0.15
bottom,0.3,partial,segmented,0.5,sections-1-2,1.0,1.2,"Cascadia (segmented, 1-2, bottom)",3150,3110|3120,2,segmented-1-2-bottom,subduction/interface/Cascadia/bottom/partial-rupture/segmented/sections-1-2/rupture-set.json,0.15
bottom,0.3,partial,segmented,0.5,sections-1-2-3,1.0,1.2,"Cascadia (segmented, 1-2-3, bottom)",3160,3110|3120|3130,3,segmented-1-2-3-bottom,subduction/interface/Cascadia/bottom/partial-rupture/segmented/sections-1-2-3/rupture-set.json,0.15
bottom,0.3,partial,unsegmented,0.5,sections-1-2-3,0.75,1.2,"Cascadia (unsegmented, 1-2-3, bottom)",3160,3110|3120|3130,3,unsegmented,subduction/interface/Cascadia/bottom/partial-rupture/unsegmented/sections-1-2-3/scaled/rupture-set.json,0.11249999999999999
bottom,0.3,partial,unsegmented,0.5,sections-1-2-3-4,0.25,1.856,"Cascadia (unsegmented, 1-2-3-4, bottom)",3170,3110|3120|3130|3140,4,unsegmented,subduction/interface/Cascadia/bottom/partial-rupture/unsegmented/sections-1-2-3-4/scaled/rupture-set.json,0.0375
middle,0.5,full,not_applicable,1.0,sections-1-2-3-4,1.0,1.0,"Cascadia (full, middle)",3171,3111|3121|3131|3141,4,full-middle,subduction/interface/Cascadia/middle/full-rupture/rupture-set.json,0.5
middle,0.5,partial,segmented,0.5,section-1,1.0,1.2,"Cascadia (segmented, 1, middle)",3111,3111,1,segmented-1-middle,subduction/interface/Cascadia/middle/partial-rupture/segmented/section-1/rupture-set.json,0.25
middle,0.5,partial,segmented,0.5,section-4,1.0,0.25,"Cascadia (segmented, 4, middle)",3141,3141,1,segmented-4-middle,subduction/interface/Cascadia/middle/partial-rupture/segmented/section-4/rupture-set.json,0.25
middle,0.5,partial,segmented,0.5,sections-1-2,1.0,1.2,"Cascadia (segmented, 1-2, middle)",3151,3111|3121,2,segmented-1-2-middle,subduction/interface/Cascadia/middle/partial-rupture/segmented/sections-1-2/rupture-set.json,0.25
middle,0.5,partial,segmented,0.5,sections-1-2-3,1.0,1.2,"Cascadia (segmented, 1-2-3, middle)",3161,3111|3121|3131,3,segmented-1-2-3-middle,subduction/interface/Cascadia/middle/partial-rupture/segmented/sections-1-2-3/rupture-set.json,0.25
middle,0.5,partial,unsegmented,0.5,sections-1-2-3,0.75,1.2,"Cascadia (unsegmented, 1-2-3, middle)",3161,3111|3121|3131,3,unsegmented,subduction/interface/Cascadia/middle/partial-rupture/unsegmented/sections-1-2-3/scaled/rupture-set.json,0.1875
middle,0.5,partial,unsegmented,0.5,sections-1-2-3-4,0.25,1.8528,"Cascadia (unsegmented, 1-2-3-4, middle)",3171,3111|3121|3131|3141,4,unsegmented,subduction/interface/Cascadia/middle/partial-rupture/unsegmented/sections-1-2-3-4/scaled/rupture-set.json,0.0625
top,0.2,full,not_applicable,1.0,sections-1-2-3-4,1.0,1.0,"Cascadia (full, top)",3172,3112|3122|3132|3142,4,full-top,subduction/interface/Cascadia/top/full-rupture/rupture-set.json,0.2
top,0.2,partial,segmented,0.5,section-1,1.0,1.2,"Cascadia (segmented, 1, top)",3112,3112,1,segmented-1-top,subduction/interface/Cascadia/top/partial-rupture/segmented/section-1/rupture-set.json,0.1
top,0.2,partial,segmented,0.5,section-4,1.0,0.25,"Cascadia (segmented, 4, top)",3142,3142,1,segmented-4-top,subduction/interface/Cascadia/top/partial-rupture/segmented/section-4/rupture-set.json,0.1
top,0.2,partial,segmented,0.5,sections-1-2,1.0,1.2,"Cascadia (segmented, 1-2, top)",3152,3112|3122,2,segmented-1-2-top,subduction/interface/Cascadia/top/partial-rupture/segmented/sections-1-2/rupture-set.json,0.1
top,0.2,partial,segmented,0.5,sections-1-2-3,1.0,1.2,"Cascadia (segmented, 1-2-3, top)",3162,3112|3122|3132,3,segmented-1-2-3-top,subduction/interface/Cascadia/top/partial-rupture/segmented/sections-1-2-3/rupture-set.json,0.1
top,0.2,partial,unsegmented,0.5,sections-1-2-3,0.75,1.2,"Cascadia (unsegmented, 1-2-3, top)",3162,3112|3122|3132,3,unsegmented,subduction/interface/Cascadia/top/partial-rupture/unsegmented/sections-1-2-3/scaled/rupture-set.json,0.07500000000000001
top,0.2,partial,unsegmented,0.5,sections-1-2-3-4,0.25,1.856,"Cascadia (unsegmented, 1-2-3-4, top)",3172,3112|3122|3132|3142,4,unsegmented,subduction/interface/Cascadia/top/partial-rupture/unsegmented/sections-1-2-3-4/scaled/rupture-set.json,0.025
