chunk_number,chunk_id,start,stop,rupture_count,site_count,expected_rows,chunk_index_path,chunk_index_hash,temporary_input,raw_output,output,log,java_args,marker,validation,status,completed_at_utc
0,0000,0,250,250,470,117500,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_rupture_indices\gmm_chunk_0000_ruptures.csv,1ba42384a8d4f3ab93ac90eb2434ddacbc1749825fbabd8be2d524b117911756,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_input_chunk_0000.tsv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_raw_chunk_0000.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0000.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\logs\bulk_gmm_chunk_0000.log,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\tools\parker_gmm_inspection\bulk_gmm_chunk_0000_java_arguments.txt,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\markers\bulk_gmm_chunk_0000.complete.json,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_validation\bulk_gmm_chunk_0000_validation.csv,complete_new,2026-07-31T18:15:54.171271+00:00
1,0001,250,500,250,470,117500,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_rupture_indices\gmm_chunk_0001_ruptures.csv,1fb4a355b08c239dc4604e5454c30fb563f65969bf5d30e172dacec66c0af9b8,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_input_chunk_0001.tsv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_raw_chunk_0001.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0001.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\logs\bulk_gmm_chunk_0001.log,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\tools\parker_gmm_inspection\bulk_gmm_chunk_0001_java_arguments.txt,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\markers\bulk_gmm_chunk_0001.complete.json,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_validation\bulk_gmm_chunk_0001_validation.csv,complete_new,2026-07-31T18:16:41.568516+00:00
2,0002,500,750,250,470,117500,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_rupture_indices\gmm_chunk_0002_ruptures.csv,e4dbf530ee8dd4c9abd6de340e6ee656fea3af91f637423b00b3ef5a4e155ba0,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_input_chunk_0002.tsv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_raw_chunk_0002.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0002.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\logs\bulk_gmm_chunk_0002.log,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\tools\parker_gmm_inspection\bulk_gmm_chunk_0002_java_arguments.txt,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\markers\bulk_gmm_chunk_0002.complete.json,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_validation\bulk_gmm_chunk_0002_validation.csv,complete_new,2026-07-31T18:17:26.789220+00:00
3,0003,750,1000,250,470,117500,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_rupture_indices\gmm_chunk_0003_ruptures.csv,c1d5eaf70de2d821b1f3ee6c4097e5aa33155cbe6a40fb58a68f24ea2fb22e65,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_input_chunk_0003.tsv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_raw_chunk_0003.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0003.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\logs\bulk_gmm_chunk_0003.log,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\tools\parker_gmm_inspection\bulk_gmm_chunk_0003_java_arguments.txt,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\markers\bulk_gmm_chunk_0003.complete.json,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_validation\bulk_gmm_chunk_0003_validation.csv,complete_new,2026-07-31T18:18:11.691526+00:00
4,0004,1000,1250,250,470,117500,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_rupture_indices\gmm_chunk_0004_ruptures.csv,0f4ec3db6734b33807eaff35fabf89284d3991437e12c17be9f6cc62b12b363e,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_input_chunk_0004.tsv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_raw_chunk_0004.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0004.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\logs\bulk_gmm_chunk_0004.log,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\tools\parker_gmm_inspection\bulk_gmm_chunk_0004_java_arguments.txt,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\markers\bulk_gmm_chunk_0004.complete.json,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_validation\bulk_gmm_chunk_0004_validation.csv,complete_new,2026-07-31T18:18:55.506401+00:00
5,0005,1250,1500,250,470,117500,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_rupture_indices\gmm_chunk_0005_ruptures.csv,7473934a6f7d138ef7208d32b1c0abbe4453e3fb7831072fbbc55fae9faf9ef3,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_input_chunk_0005.tsv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_raw_chunk_0005.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0005.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\logs\bulk_gmm_chunk_0005.log,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\tools\parker_gmm_inspection\bulk_gmm_chunk_0005_java_arguments.txt,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\markers\bulk_gmm_chunk_0005.complete.json,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_validation\bulk_gmm_chunk_0005_validation.csv,complete_new,2026-07-31T18:19:41.281067+00:00
6,0006,1500,1750,250,470,117500,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_rupture_indices\gmm_chunk_0006_ruptures.csv,4b4dfcaec208e798f45a3dad47e3111a414280914e0bc98db15427c1e599f3e7,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_input_chunk_0006.tsv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_raw_chunk_0006.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0006.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\logs\bulk_gmm_chunk_0006.log,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\tools\parker_gmm_inspection\bulk_gmm_chunk_0006_java_arguments.txt,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\markers\bulk_gmm_chunk_0006.complete.json,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_validation\bulk_gmm_chunk_0006_validation.csv,complete_new,2026-07-31T18:20:28.402625+00:00
7,0007,1750,2000,250,470,117500,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_rupture_indices\gmm_chunk_0007_ruptures.csv,5d4d7e017c7e11dd9af54d5d2846e97cac0ba078159503ca0a3ad2eb7812f372,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_input_chunk_0007.tsv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_raw_chunk_0007.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0007.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\logs\bulk_gmm_chunk_0007.log,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\tools\parker_gmm_inspection\bulk_gmm_chunk_0007_java_arguments.txt,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\markers\bulk_gmm_chunk_0007.complete.json,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_validation\bulk_gmm_chunk_0007_validation.csv,complete_new,2026-07-31T18:21:14.923752+00:00
8,0008,2000,2250,250,470,117500,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_rupture_indices\gmm_chunk_0008_ruptures.csv,fb2d4ea2848fdb6820a9a0944d6c7689a77e8c6a24ca25c9157e3c7f7d17ec56,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_input_chunk_0008.tsv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_raw_chunk_0008.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0008.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\logs\bulk_gmm_chunk_0008.log,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\tools\parker_gmm_inspection\bulk_gmm_chunk_0008_java_arguments.txt,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\markers\bulk_gmm_chunk_0008.complete.json,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_validation\bulk_gmm_chunk_0008_validation.csv,complete_new,2026-07-31T18:21:59.319639+00:00
9,0009,2250,2500,250,470,117500,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_rupture_indices\gmm_chunk_0009_ruptures.csv,f0b1ba45c05b3b55f6876a9066a93d16820be6c4dc070483a300172577db3a50,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_input_chunk_0009.tsv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\temporary\gmm_raw_chunk_0009.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0009.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\logs\bulk_gmm_chunk_0009.log,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\tools\parker_gmm_inspection\bulk_gmm_chunk_0009_java_arguments.txt,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\markers\bulk_gmm_chunk_0009.complete.json,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunk_validation\bulk_gmm_chunk_0009_validation.csv,complete_new,2026-07-31T18:22:49.474788+00:00
