site_ordinal,site_id,site_longitude,site_latitude
0,W2_0001,-123.9220712,45.991445761999998
1,W2_0002,-123.9232456,45.988640928000002
2,W2_0003,-123.9187622,45.998308942999998
3,W2_0004,-123.9155394,46.001040615000001
4,W2_0005,-123.9248216,45.998048748000002
5,W2_0006,-123.928059,45.992136000000002
6,W2_0007,-123.9451565,45.973389406999999
7,W2_0008,-123.9292026,45.993064101000002
8,W2_0009,-123.9298967,45.992405503999997
9,W2_0010,-123.9279538,45.992701554
10,W2_0011,-123.9283144,45.992407894999999
11,W2_0012,-123.9284734,45.992408701000002
12,W2_0013,-123.9281556,45.992407237000002
13,W2_0014,-123.9333008,45.979070686
14,W2_0015,-123.9478323,45.974929000000003
15,W2_0016,-123.930672,45.988530101000002
16,W2_0017,-123.9296059,45.992400641000003
17,W2_0018,-123.928465,45.992989080000001
18,W2_0019,-123.9391416,45.973974837999997
19,W2_0020,-123.9313855,45.982714000000001
20,W2_0021,-123.9280845,45.979803500000003
21,W2_0022,-123.9315338,45.980287582000003
22,W2_0023,-123.9313607,45.980468854999998
23,W2_0024,-123.9288954,45.992007934999997
24,W2_0025,-123.9284318,45.99211047
25,W2_0026,-123.9296265,45.980015999999999
26,W2_0027,-123.93135580000001,45.979455690000002
27,W2_0028,-123.9549694,45.973787616999999
28,W2_0029,-123.9281579,45.987776214
29,W2_0030,-123.9427067,45.973336899000003
30,W2_0031,-123.9296495,45.993085346999997
31,W2_0032,-123.9288069,45.992812770999997
32,W2_0033,-123.9279547,45.992592617
33,W2_0034,-123.9316934,45.980316234999997
34,W2_0035,-123.92242450000001,45.984138000000002
35,W2_0036,-123.9234266,45.986138746000002
36,W2_0037,-123.9243665,45.985279499999997
37,W2_0038,-123.9232827,45.988365751000003
38,W2_0039,-123.9263244,45.978790263999997
39,W2_0040,-123.9220284,45.986624216999999
40,W2_0041,-123.92754549999999,45.992018397000002
41,W2_0042,-123.92403,45.982160434999997
42,W2_0043,-123.92541199999999,46.002336999999997
43,W2_0044,-123.9260594,45.980949238000001
44,W2_0045,-123.92729249999999,45.993494429000002
45,W2_0046,-123.9234987,45.986630919
46,W2_0047,-123.9251893,45.972084021000001
47,W2_0048,-123.92914570000001,45.992758418000001
48,W2_0049,-123.92975939999999,45.993063022000001
49,W2_0050,-123.9294699,45.992400015000001
50,W2_0051,-123.92854850000001,45.992397560999997
51,W2_0052,-123.9279533,45.992755399000004
52,W2_0053,-123.9279964,45.992405777000002
53,W2_0054,-123.9271305,45.992680469
54,W2_0055,-123.93920989999999,45.975395577999997
55,W2_0056,-123.9251898,45.993309265000001
56,W2_0057,-123.9255457,45.983007366000002
57,W2_0058,-123.9245007,45.987023311999998
58,W2_0059,-123.92442250000001,45.98675592
59,W2_0060,-123.9105404,46.014239433999997
60,W2_0061,-123.9131799,46.015373484999998
