chunk_number,chunk_id,catalog_occurrence_count,expected_field_rows,cell17_gmm_output_path,cell17_gmm_output_sha256,event_output,field_output,validation_output,marker_path,status,completed_at_utc
0,0000,5412,2543640,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0000.csv.gz,cce2b13937a57fe1a99f68cd713918dd7006862683f47dc97b0cd5220410f85f,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\event_chunks\full_events_chunk_0000.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\field_chunks\full_fields_chunk_0000.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\chunk_validation\full_fields_chunk_0000_validation.csv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\completion_markers\full_fields_chunk_0000.complete.json,complete_new,2026-08-02T18:24:18.997089+00:00
1,0001,671,315370,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0001.csv.gz,43bdd300daf390762c49c73bd6c4fa4c2699392940f29dd43abf2c394c3ef8cd,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\event_chunks\full_events_chunk_0001.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\field_chunks\full_fields_chunk_0001.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\chunk_validation\full_fields_chunk_0001_validation.csv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\completion_markers\full_fields_chunk_0001.complete.json,complete_new,2026-08-02T18:25:09.480993+00:00
2,0002,416,195520,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0002.csv.gz,6fc749cc55e9e854d73730796eeed72ae7f24bb9c504e25805823a0f55dd71ea,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\event_chunks\full_events_chunk_0002.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\field_chunks\full_fields_chunk_0002.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\chunk_validation\full_fields_chunk_0002_validation.csv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\completion_markers\full_fields_chunk_0002.complete.json,complete_new,2026-08-02T18:25:45.595168+00:00
3,0003,405,190350,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0003.csv.gz,a143f89943540f2472dacd8ee015d464b280925fe6b12c0fecb31e2fd0cf1739,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\event_chunks\full_events_chunk_0003.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\field_chunks\full_fields_chunk_0003.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\chunk_validation\full_fields_chunk_0003_validation.csv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\completion_markers\full_fields_chunk_0003.complete.json,complete_new,2026-08-02T18:26:25.205360+00:00
4,0004,372,174840,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0004.csv.gz,9af753a13cc19e866890c13ceb70844be418527b47cde29efe8ebf61b2125b51,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\event_chunks\full_events_chunk_0004.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\field_chunks\full_fields_chunk_0004.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\chunk_validation\full_fields_chunk_0004_validation.csv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\completion_markers\full_fields_chunk_0004.complete.json,complete_new,2026-08-02T18:26:53.529745+00:00
5,0005,387,181890,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0005.csv.gz,13d2690de6a46f8492204d38ca20f1c82aa89589bd3123c9b4645d2c3f3301dc,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\event_chunks\full_events_chunk_0005.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\field_chunks\full_fields_chunk_0005.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\chunk_validation\full_fields_chunk_0005_validation.csv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\completion_markers\full_fields_chunk_0005.complete.json,complete_new,2026-08-02T18:27:23.214325+00:00
6,0006,365,171550,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0006.csv.gz,e6c3558fc8b6d22da6aedcac3f99eb0d6574e8db02d048f89f2859e2a2e0f20f,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\event_chunks\full_events_chunk_0006.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\field_chunks\full_fields_chunk_0006.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\chunk_validation\full_fields_chunk_0006_validation.csv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\completion_markers\full_fields_chunk_0006.complete.json,complete_new,2026-08-02T18:27:50.746394+00:00
7,0007,334,156980,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0007.csv.gz,a676b0fe56a61d0880ab86722643d3cdbff903eef3544dc1b6325fb0c1d1e48d,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\event_chunks\full_events_chunk_0007.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\field_chunks\full_fields_chunk_0007.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\chunk_validation\full_fields_chunk_0007_validation.csv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\completion_markers\full_fields_chunk_0007.complete.json,complete_new,2026-08-02T18:28:17.100839+00:00
8,0008,324,152280,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0008.csv.gz,276beca527105f549b69020f2ebf90480bb6a6a373093aabf3909849eb874261,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\event_chunks\full_events_chunk_0008.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\field_chunks\full_fields_chunk_0008.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\chunk_validation\full_fields_chunk_0008_validation.csv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\completion_markers\full_fields_chunk_0008.complete.json,complete_new,2026-08-02T18:28:42.396816+00:00
9,0009,321,150870,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_bulk_parker_gmm_work\chunks\bulk_gmm_chunk_0009.csv.gz,bc4a4af1733499496cd84484f780b4a773444b31d9ec8fa4a80b42f94abccc42,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\event_chunks\full_events_chunk_0009.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\field_chunks\full_fields_chunk_0009.csv.gz,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\chunk_validation\full_fields_chunk_0009_validation.csv,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_full_baseline_fields_work\completion_markers\full_fields_chunk_0009.complete.json,complete_new,2026-08-02T18:29:08.280447+00:00
