artifact_id,stage,role,path,exists,size_bytes,expected_sha256,actual_sha256,hash_matches,required_for_notebook5
notebook3_event_catalog,Notebook 3,Annual stochastic event-occurrence catalog,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\annual_event_catalog\annual_event_catalog.csv,True,6715129,e4725a57eab466348aa263d79b8f8bcc923f9542fb5507af279fece41c121f37,e4725a57eab466348aa263d79b8f8bcc923f9542fb5507af279fece41c121f37,True,True
seaside_w2_portfolio,Exposure,470-site Seaside W2 GMM-ready portfolio,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\exposure_portfolio\seaside_w2_portfolio_gmm_ready.csv,True,212648,686623ec6793546004533f6a188897100208863f2627b63644115c98f291eb71,686623ec6793546004533f6a188897100208863f2627b63644115c98f291eb71,True,True
cell15_distances,Cell 15,Authoritative USGS rupture-to-site distances,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_4_authoritative_usgs_distances\usgs_rupture_site_distances.csv.gz,True,26787221,dbc5c000adb368b1f2e85ea353073bb00f84ae815ee61311844d10162ae9d719,dbc5c000adb368b1f2e85ea353073bb00f84ae815ee61311844d10162ae9d719,True,False
cell15_rupture_audit,Cell 15,Authoritative rupture-retrieval audit,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_authoritative_rupture_retrieval_audit.csv.gz,True,237739,7aaf2846daa825e3498ee91da0412021f2a13fbf37f68824100a918ebfb96411,7aaf2846daa825e3498ee91da0412021f2a13fbf37f68824100a918ebfb96411,True,False
cell16_controlled_gmm,Cell 16,Controlled Parker GMM outputs,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_4_controlled_parker_gmm\controlled_parker_requested_outputs.csv,True,8171,d0016a1dac709f3bae4764d4c3aea4d47fd21a1d32623e05698895b59abe14dd,d0016a1dac709f3bae4764d4c3aea4d47fd21a1d32623e05698895b59abe14dd,True,False
cell17_bulk_gmm_parameters,Cell 17,Bulk epi-lo/off/hi Parker GMM parameter matrix,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_4_bulk_parker_gmm\bulk_parker_gmm_parameters.csv.gz,True,147936621,ecc75c1220f655f11001fc653e9e56a99361057e14f930dbf7235e3261a4b4f0,ecc75c1220f655f11001fc653e9e56a99361057e14f930dbf7235e3261a4b4f0,True,False
cell18_site_order,Cell 18,Frozen 470-site ordering for reproducible residual streams,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_cell_18_site_order.csv,True,21655,fc64d53410fdadab5379f82c73c1d74ce3393911fbdd73a0dbc483f056f3d100,fc64d53410fdadab5379f82c73c1d74ce3393911fbdd73a0dbc483f056f3d100,True,True
cell18_random_specification,Cell 18,Controlled random-stream specification,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_cell_18_random_stream_specification.json,True,2314,e1fa8fb81c8827d7e63b0cc52bf3b95336542477aad8acd8e9c4decf49bfafcf,e1fa8fb81c8827d7e63b0cc52bf3b95336542477aad8acd8e9c4decf49bfafcf,True,False
cell19_ground_motion_fields,Cell 19,Full baseline occurrence-site PGA and SA0P4 fields,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_4_full_baseline_fields\full_baseline_ground_motion_fields.csv.gz,True,715682721,5d202929c997c262abfd068e47ba7c7fdba91873af8135d28dfec35b78193e5b,5d202929c997c262abfd068e47ba7c7fdba91873af8135d28dfec35b78193e5b,True,True
cell19_event_residual_ledger,Cell 19,Occurrence-level residual seeds and between-event residuals,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_4_full_baseline_fields\full_event_residual_ledger.csv.gz,True,1196453,f89f1983edf935cd53383e3042790a9889b16269eb71eda58605f5454c2e75a4,f89f1983edf935cd53383e3042790a9889b16269eb71eda58605f5454c2e75a4,True,True
cell19_occurrence_index,Cell 19,Sparse annual-catalog occurrence index,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_cell_19_event_occurrence_index.csv.gz,True,333205,02da94690b52515e6d8f2d0679a05481ff415c2531d3bb8d691417818eefaf9f,02da94690b52515e6d8f2d0679a05481ff415c2531d3bb8d691417818eefaf9f,True,True
cell19_random_specification,Cell 19,Production random-stream specification,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_4_cell_19_random_stream_specification.json,True,2614,909a0e03f48c01ea546d7ca396d6332696637331e3c96e224ce9dbfbe3b752c6,909a0e03f48c01ea546d7ca396d6332696637331e3c96e224ce9dbfbe3b752c6,True,True
