rupture_ordinal,event_id,rupture_id,tree_id,branch_index,rupture_set_id,source_index,source_id,source_name,source_type,rupture_index,magnitude,raw_annual_rate,top_depth_km,width_km,centroid_longitude,centroid_latitude,centroid_depth_km
0,EVT_00000001,ff36c8c176c0929711a982c1,3199,13,3172,0,3172,"Cascadia (full, top)",INTERFACE,1,8.72,0.0006327,5.091845789473684,85.0,-125.26684506684153,45.06951187159024,11.059411725958665
1,EVT_00000002,f0fd5c1a0da521278eb8cbb0,8231,0,8211,641,8211,"PointSourceFinite: -123.700, 45.300",SLAB,5,7.05,6.076026690392923e-07,42.0,8.0,-123.7,45.3,42.0
2,EVT_00000003,9bc16e99e4e04b60a7dacf09,3199,11,3171,0,3171,"Cascadia (full, middle)",INTERFACE,0,8.69,0.0006346,5.091845789473684,105.0,-125.15094142352632,45.11582181320051,12.834151712795288
3,EVT_00000004,49283c0b1304034206982cfb,3199,1,3160,0,3160,"Cascadia (unsegmented, 1-2-3, bottom)",INTERFACE,1022,8.4,6.66441670347842e-07,5.0,145.0,,,
4,EVT_00000005,836db3af40a939132e109ab1,3199,11,3171,0,3171,"Cascadia (full, middle)",INTERFACE,2,9.12,0.0006327,5.091845789473684,105.0,-125.15094142352632,45.11582181320051,12.834151712795288
5,EVT_00000007,6ddc0263a559c933238b255d,8231,0,8211,653,8211,"PointSourceFinite: -122.500, 45.300",SLAB,2,6.75,3.7104887803214324e-07,50.0,8.0,-122.5,45.3,50.0
6,EVT_00000008,b695658eda2ede5b10ae3b07,3199,18,3141,0,3141,"Cascadia (segmented, 4, middle)",INTERFACE,1,8.52,0.000333,5.0,130.0,-125.68901903364566,48.00072976261103,15.424939077474225
7,EVT_00000009,4944ab46e7ff414e82a9bfa9,3199,11,3171,0,3171,"Cascadia (full, middle)",INTERFACE,1,8.82,0.0006327,5.091845789473684,105.0,-125.15094142352632,45.11582181320051,12.834151712795288
8,EVT_00000011,277bc55685f81d3551a06fce,8231,0,8211,76,8211,"PointSourceFinite: -123.000, 42.400",SLAB,0,6.55,2.988488853661009e-07,50.0,8.0,-123.0,42.4,50.0
9,EVT_00000014,9314891a167a922dfb7e367d,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,1077,8.5,6.232945289588634e-07,5.0,80.0,,,
10,EVT_00000015,b18dfe7bfe65277b6a076d34,3199,6,3170,0,3170,"Cascadia (full, bottom)",INTERFACE,2,9.34,0.0006327,5.091845789473684,155.0,-124.84694859812409,45.16491048816848,18.168106230519605
11,EVT_00000016,de5269ee2975ae26f4e3d554,8231,0,8211,561,8211,"PointSourceFinite: -122.800, 44.800",SLAB,0,6.55,6.726874645200962e-07,50.0,8.0,-122.8,44.8,50.0
12,EVT_00000017,893f0b4216d7172372844b95,3199,17,3111,0,3111,"Cascadia (segmented, 1, middle)",INTERFACE,2,8.43,0.0001447884,5.349014,75.0,-124.7296433232098,42.0203457121948,10.209791491788426
13,EVT_00000018,48204b83cd4001b245c8cb1f,8231,0,8211,114,8211,"PointSourceFinite: -123.400, 42.600",SLAB,1,6.65,4.532440986999241e-07,42.0,8.0,-123.4,42.6,42.0
14,EVT_00000020,83011f9db76b797e03a65001,8231,0,8211,690,8211,"PointSourceFinite: -123.900, 45.600",SLAB,0,6.55,6.693686835065511e-07,42.0,8.0,-123.9,45.6,42.0
15,EVT_00000021,1152766b621780ee46c7aada,3199,9,3161,0,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,441,8.4,8.56164357917674e-07,5.0,80.0,,,
16,EVT_00000023,20290654dda42c6497c2777b,8231,0,8211,559,8211,"PointSourceFinite: -123.000, 44.800",SLAB,4,6.95,5.572209883748411e-07,50.0,8.0,-123.0,44.8,50.0
17,EVT_00000025,57dbcfbb79bcbb3c93096082,8231,0,8211,507,8211,"PointSourceFinite: -122.600, 44.500",SLAB,2,6.75,3.553225897653217e-07,50.0,8.0,-122.6,44.5,50.0
18,EVT_00000026,0301830d16b64cc6be209ac9,3199,15,3170,0,3170,"Cascadia (unsegmented, 1-2-3-4, bottom)",INTERFACE,1298,8.0,6.50020652165802e-07,5.0,155.0,,,
19,EVT_00000027,60d5d94c92b2b58ce5e1e98b,3199,10,3171,0,3171,"Cascadia (unsegmented, 1-2-3-4, middle)",INTERFACE,324,8.1,3.4722221182216775e-07,5.0,105.0,,,
20,EVT_00000029,d68c72ba2d1dade8e45e24c3,8231,0,8211,556,8211,"PointSourceFinite: -123.300, 44.800",SLAB,5,7.05,5.966164465796544e-07,42.0,8.0,-123.3,44.8,42.0
21,EVT_00000030,408aa926e1bc8b778ce04d25,8231,0,8211,548,8211,"PointSourceFinite: -122.300, 44.700",SLAB,2,6.75,2.913187360143933e-07,60.0,8.0,-122.3,44.7,60.0
22,EVT_00000033,18394f7c5dfc229ba332f5e7,3199,20,3162,0,3162,"Cascadia (segmented, 1-2-3, top)",INTERFACE,1,8.44,5.79087e-05,5.174507,70.0,-124.91323414535124,43.31767218224153,9.81658118385908
23,EVT_00000034,144ebd4e7655d70d61c137ca,8231,0,8211,679,8211,"PointSourceFinite: -123.300, 45.500",SLAB,5,7.05,5.253874095316394e-07,42.0,8.0,-123.3,45.5,42.0
24,EVT_00000037,8c0d70de8ad3fb9616a3af8a,8231,0,8211,0,8211,"PointSourceFinite: -124.300, 42.100",SLAB,1,6.65,8.197640538201542e-07,42.0,8.0,-124.3,42.1,42.0
25,EVT_00000038,9aee24b1485c914e7beba8f4,8231,0,8211,586,8211,"PointSourceFinite: -123.900, 45.000",SLAB,3,6.85,6.803071610301524e-07,42.0,8.0,-123.9,45.0,42.0
