site_ordinal,site_id,longitude,latitude
0,W2_0001,-123.9220712,45.991445762
1,W2_0002,-123.9232456,45.988640928
2,W2_0003,-123.9187622,45.998308943
3,W2_0004,-123.9155394,46.001040615
4,W2_0005,-123.9248216,45.998048748
5,W2_0006,-123.928059,45.992136
6,W2_0007,-123.9451565,45.973389407
7,W2_0008,-123.9292026,45.993064101
8,W2_0009,-123.9298967,45.992405504
9,W2_0010,-123.9279538,45.992701554
10,W2_0011,-123.9283144,45.992407895
11,W2_0012,-123.9284734,45.992408701
12,W2_0013,-123.9281556,45.992407237
13,W2_0014,-123.9333008,45.979070686
14,W2_0015,-123.9478323,45.974929
15,W2_0016,-123.930672,45.988530101
16,W2_0017,-123.9296059,45.992400641
17,W2_0018,-123.928465,45.99298908
18,W2_0019,-123.9391416,45.973974838
19,W2_0020,-123.9313855,45.982714
20,W2_0021,-123.9280845,45.9798035
21,W2_0022,-123.9315338,45.980287582
22,W2_0023,-123.9313607,45.980468855
23,W2_0024,-123.9288954,45.992007935
24,W2_0025,-123.9284318,45.99211047
25,W2_0026,-123.9296265,45.980016
26,W2_0027,-123.9313558,45.97945569
27,W2_0028,-123.9549694,45.973787617
28,W2_0029,-123.9281579,45.987776214
29,W2_0030,-123.9427067,45.973336899
30,W2_0031,-123.9296495,45.993085347
31,W2_0032,-123.9288069,45.992812771
32,W2_0033,-123.9279547,45.992592617
33,W2_0034,-123.9316934,45.980316235
34,W2_0035,-123.9224245,45.984138
35,W2_0036,-123.9234266,45.986138746
36,W2_0037,-123.9243665,45.9852795
37,W2_0038,-123.9232827,45.988365751
38,W2_0039,-123.9263244,45.978790264
39,W2_0040,-123.9220284,45.986624217
40,W2_0041,-123.9275455,45.992018397
41,W2_0042,-123.92403,45.982160435
42,W2_0043,-123.925412,46.002337
43,W2_0044,-123.9260594,45.980949238
44,W2_0045,-123.9272925,45.993494429
45,W2_0046,-123.9234987,45.986630919
46,W2_0047,-123.9251893,45.972084021
47,W2_0048,-123.9291457,45.992758418
48,W2_0049,-123.9297594,45.993063022
49,W2_0050,-123.9294699,45.992400015
50,W2_0051,-123.9285485,45.992397561
51,W2_0052,-123.9279533,45.992755399
52,W2_0053,-123.9279964,45.992405777
53,W2_0054,-123.9271305,45.992680469
54,W2_0055,-123.9392099,45.975395578
55,W2_0056,-123.9251898,45.993309265
56,W2_0057,-123.9255457,45.983007366
57,W2_0058,-123.9245007,45.987023312
58,W2_0059,-123.9244225,45.98675592
59,W2_0060,-123.9105404,46.014239434
60,W2_0061,-123.9131799,46.015373485
61,W2_0062,-123.9257555,45.983958122
62,W2_0063,-123.9244282,45.988452544
63,W2_0064,-123.9247267,45.984850527
64,W2_0065,-123.9259519,45.983515142
65,W2_0066,-123.9284318,45.99211047
66,W2_0067,-123.9348567,45.978594192
67,W2_0068,-123.9263484,45.97928584
68,W2_0069,-123.9265066,45.978290137
69,W2_0070,-123.9270752,45.977119432
70,W2_0071,-123.931421,45.980299794
71,W2_0072,-123.932502,45.9803765
72,W2_0073,-123.942781,45.9741055
73,W2_0074,-123.9428353,45.974454753
74,W2_0075,-123.9424899,45.973675653
75,W2_0076,-123.9254502,45.982807331
76,W2_0077,-123.924445,45.9828115
77,W2_0078,-123.9244457,45.984179172
78,W2_0079,-123.9250273,45.984434785
79,W2_0080,-123.9244882,45.986924942
80,W2_0081,-123.9244772,45.986859573
81,W2_0082,-123.9097815,46.0058955
82,W2_0083,-123.9032194,46.010959708
83,W2_0084,-123.9131105,46.0020615
84,W2_0085,-123.9062888,46.007724397
85,W2_0086,-123.9117204,46.015743389
86,W2_0087,-123.9302187,45.99092618
87,W2_0088,-123.9278824,45.982154476
88,W2_0089,-123.9065834,46.008436247
89,W2_0090,-123.9105412,46.011887979
90,W2_0091,-123.9142367,46.010129448
91,W2_0092,-123.9146677,46.007496585
92,W2_0093,-123.9061982,45.997717585
93,W2_0094,-123.9061982,45.997717585
94,W2_0095,-123.9061982,45.997717585
95,W2_0096,-123.9124145,46.00566186
96,W2_0097,-123.9138969,46.001199827
97,W2_0098,-123.9112165,46.0030565
98,W2_0099,-123.9153633,46.002459263
99,W2_0100,-123.9179214,46.00203662
100,W2_0101,-123.916448,46.001312896
101,W2_0102,-123.9127765,45.9894115
102,W2_0103,-123.9179106,45.998566843
103,W2_0104,-123.918146,45.990041
104,W2_0105,-123.9174372,45.992059654
105,W2_0106,-123.9181841,45.999910838
106,W2_0107,-123.915809,45.992763748
107,W2_0108,-123.9158634,46.003325766
108,W2_0109,-123.9175298,45.998958778
109,W2_0110,-123.9203316,45.994280093
110,W2_0111,-123.9199241,45.995379438
111,W2_0112,-123.915024,45.986385753
112,W2_0113,-123.9231067,46.005925782
113,W2_0114,-123.9230471,45.991040254
114,W2_0115,-123.9068158,46.000073509
115,W2_0116,-123.9197588,45.988902122
116,W2_0117,-123.9205895,45.9922425
117,W2_0118,-123.9201573,45.991201126
118,W2_0119,-123.9152375,46.004293
119,W2_0120,-123.916448,46.001312896
120,W2_0121,-123.9203362,45.98996922
121,W2_0122,-123.9258928,45.992963337
122,W2_0123,-123.9261438,45.98323813
123,W2_0124,-123.9218322,45.99329124
124,W2_0125,-123.9170914,45.99207708
125,W2_0126,-123.9244937,45.986957626
126,W2_0127,-123.9152526,46.002782265
127,W2_0128,-123.91556,46.002458776
128,W2_0129,-123.9191,45.997097964
129,W2_0130,-123.9061982,45.997717585
130,W2_0131,-123.9061982,45.997717585
131,W2_0132,-123.9061982,45.997717585
132,W2_0133,-123.910912,45.99641348
133,W2_0134,-123.9185235,45.9957405
134,W2_0135,-123.9185782,45.99601908
135,W2_0136,-123.9182447,45.997380591
136,W2_0137,-123.9165832,46.004275347
137,W2_0138,-123.922584,45.9976765
138,W2_0139,-123.9218914,45.991486685
139,W2_0140,-123.9267494,45.980445478
140,W2_0141,-123.928636,45.9941685
141,W2_0142,-123.9210348,45.987895279
142,W2_0143,-123.9279147,45.994762574
143,W2_0144,-123.9216481,45.993615225
144,W2_0145,-123.9229692,45.982291519
145,W2_0146,-123.9201573,45.991201126
146,W2_0147,-123.9211874,45.990166489
147,W2_0148,-123.9263272,45.994993857
148,W2_0149,-123.9279447,45.993370542
149,W2_0150,-123.927089,45.993369243
150,W2_0151,-123.9299035,45.993069369
151,W2_0152,-123.9294676,45.993065165
152,W2_0153,-123.9293306,45.993065024
153,W2_0154,-123.9288072,45.992827697
154,W2_0155,-123.9298253,45.992440533
155,W2_0156,-123.9273827,45.992814977
156,W2_0157,-123.9279553,45.992537046
157,W2_0158,-123.9279232,45.992413318
158,W2_0159,-123.9174338,45.992251481
159,W2_0160,-123.9255974,45.992605561
160,W2_0161,-123.9271692,45.992938176
161,W2_0162,-123.9273237,45.992814922
162,W2_0163,-123.9231458,46.001435754
163,W2_0164,-123.9272436,46.000660578
164,W2_0165,-123.9240047,45.999394046
165,W2_0166,-123.9087665,45.995602524
166,W2_0167,-123.9193007,45.994908793
167,W2_0168,-123.9178191,45.996815254
168,W2_0169,-123.9218914,45.991486685
169,W2_0170,-123.9224012,45.989015746
170,W2_0171,-123.906724,45.997687175
171,W2_0172,-123.9183003,46.003531115
172,W2_0173,-123.9213846,45.993293506
173,W2_0174,-123.9074963,45.987784052
174,W2_0175,-123.9166332,46.000011148
175,W2_0176,-123.9061982,45.997717585
176,W2_0177,-123.9111532,45.994931392
177,W2_0178,-123.898053,46.008615797
178,W2_0179,-123.8970146,46.008939552
179,W2_0180,-123.9034356,46.008277653
180,W2_0181,-123.91857,45.996366246
181,W2_0182,-123.9189194,45.994943863
182,W2_0183,-123.9190605,46.004613
183,W2_0184,-123.9180787,46.000116906
184,W2_0185,-123.922152,45.994702891
185,W2_0186,-123.9201406,46.001654002
186,W2_0187,-123.9189598,45.999297817
187,W2_0188,-123.9184323,46.000542456
188,W2_0189,-123.919624,45.994251465
189,W2_0190,-123.9155564,46.001748564
190,W2_0191,-123.922679,45.9883445
191,W2_0192,-123.9260822,45.979684816
192,W2_0193,-123.908602,45.991497236
193,W2_0194,-123.9271815,45.993571603
194,W2_0195,-123.9220868,45.989665241
195,W2_0196,-123.9061982,45.997717585
196,W2_0197,-123.9061982,45.997717585
197,W2_0198,-123.9302344,45.979508141
198,W2_0199,-123.9284007,45.980487469
199,W2_0200,-123.9319197,45.984030536
200,W2_0201,-123.9095594,45.989974258
201,W2_0202,-123.9185299,46.004264065
202,W2_0203,-123.9159399,46.003364019
203,W2_0204,-123.9156182,45.999301414
204,W2_0205,-123.9175419,46.002441297
205,W2_0206,-123.918203,46.002105
206,W2_0207,-123.916448,46.001312896
207,W2_0208,-123.9154929,46.004618714
208,W2_0209,-123.9146273,46.005370698
209,W2_0210,-123.9151071,46.002471469
210,W2_0211,-123.9153466,46.002100732
211,W2_0212,-123.9207318,46.00166991
212,W2_0213,-123.919792,45.9973695
213,W2_0214,-123.9193595,45.99709
214,W2_0215,-123.9199114,45.999801489
215,W2_0216,-123.9151381,46.017119801
216,W2_0217,-123.915895,45.9762615
217,W2_0218,-123.9126149,45.998441281
218,W2_0219,-123.9240678,45.989660216
219,W2_0220,-123.9236509,45.98235705
220,W2_0221,-123.9229049,45.992097374
221,W2_0222,-123.9229049,45.992097374
222,W2_0223,-123.921922,45.9992025
223,W2_0224,-123.9215074,45.997660365
224,W2_0225,-123.9102422,45.985004449
225,W2_0226,-123.9153354,45.979143719
226,W2_0227,-123.9144197,45.983306493
227,W2_0228,-123.910112,46.003525735
228,W2_0229,-123.9091782,46.011755356
229,W2_0230,-123.907114,45.997372627
230,W2_0231,-123.9107754,46.014727445
231,W2_0232,-123.9104594,46.015981812
232,W2_0233,-123.9106326,46.01356978
233,W2_0234,-123.9106326,46.01356978
234,W2_0235,-123.9102331,45.999485021
235,W2_0236,-123.9066636,46.005429666
236,W2_0237,-123.9099537,46.004018514
237,W2_0238,-123.9099325,46.004420449
238,W2_0239,-123.9091058,46.001827805
239,W2_0240,-123.9111041,45.997897841
240,W2_0241,-123.9061982,45.997717585
241,W2_0242,-123.9061982,45.997717585
242,W2_0243,-123.9061982,45.997717585
243,W2_0244,-123.9061982,45.997717585
244,W2_0245,-123.9079767,46.01438635
245,W2_0246,-123.9057339,46.011695204
246,W2_0247,-123.9004979,46.004221307
247,W2_0248,-123.9090342,45.993624386
248,W2_0249,-123.9095959,45.990218503
249,W2_0250,-123.9117612,45.989013278
250,W2_0251,-123.9111726,45.984993247
251,W2_0252,-123.9146481,45.985156014
252,W2_0253,-123.9132355,45.9845515
253,W2_0254,-123.9180954,45.9963813
254,W2_0255,-123.9182307,45.990653007
255,W2_0256,-123.9192575,45.9928935
256,W2_0257,-123.9192121,45.992796244
257,W2_0258,-123.9153712,45.975469067
258,W2_0259,-123.919646,45.994205742
259,W2_0260,-123.9172922,45.99225308
260,W2_0261,-123.9152729,45.992791568
261,W2_0262,-123.9109092,45.992830901
262,W2_0263,-123.910922,45.989045966
263,W2_0264,-123.912989,45.995819695
264,W2_0265,-123.9273222,45.993470093
265,W2_0266,-123.9273986,45.994783342
266,W2_0267,-123.9286907,45.992990144
267,W2_0268,-123.9297372,45.992404515
268,W2_0269,-123.928237,45.99298808
269,W2_0270,-123.9279556,45.99264709
270,W2_0271,-123.9279569,45.992482939
271,W2_0272,-123.9283934,45.992407347
272,W2_0273,-123.9282345,45.992406651
273,W2_0274,-123.9280751,45.992405694
274,W2_0275,-123.9156225,45.9810355
275,W2_0276,-123.926666,45.977582546
276,W2_0277,-123.9226503,45.98404627
277,W2_0278,-123.9212639,45.997284114
278,W2_0279,-123.9221235,45.990101774
279,W2_0280,-123.919748,45.990250675
280,W2_0281,-123.9104594,46.015981812
281,W2_0282,-123.9142532,46.015586868
282,W2_0283,-123.9126605,46.015775087
283,W2_0284,-123.9132653,46.013044337
284,W2_0285,-123.915809,45.992763748
285,W2_0286,-123.9148735,46.009922403
286,W2_0287,-123.9154929,46.004618714
287,W2_0288,-123.9159408,46.011593975
288,W2_0289,-123.9263667,46.004513396
289,W2_0290,-123.9228495,45.991619
290,W2_0291,-123.9223193,45.98917558
291,W2_0292,-123.9232699,45.988873733
292,W2_0293,-123.9224075,45.984423412
293,W2_0294,-123.9238561,45.989208468
294,W2_0295,-123.9263117,45.98265445
295,W2_0296,-123.9241307,45.987294351
296,W2_0297,-123.9255191,45.984150812
297,W2_0298,-123.925149,45.984554
298,W2_0299,-123.9241209,45.986701638
299,W2_0300,-123.9267911,45.979939754
300,W2_0301,-123.9203316,45.994280093
301,W2_0302,-123.9226195,45.9939615
302,W2_0303,-123.9207525,45.994310379
303,W2_0304,-123.9223809,45.988695634
