chunk_id,rows,occurrences,minimum_occurrence_ordinal,maximum_occurrence_ordinal,output_path,output_size_bytes,output_sha256,marker_path,validation_path,reused
0000,117500,250,0,249,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0000.csv.gz,11342516,87fb92494c5e32dae053413c0356a614eef4d2aeee37ce766f17295c36b83fb9,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0000.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0000_validation.csv,False
0001,117500,250,250,574,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0001.csv.gz,11429881,2629844694bd9d3a693c1365011ef60450d21a5a49b39382293ab62d8ecabd79,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0001.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0001_validation.csv,False
0002,117500,250,576,1131,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0002.csv.gz,11815743,02932b4edeb565f6aa4710b137dd9e7051ad7e00a11d612b05793fab1fbe6aa2,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0002.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0002_validation.csv,False
0003,117500,250,1134,1690,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0003.csv.gz,11728753,cc7aff82bafcb94c6693b038ab69dae3985137c40209087ff32d577923725fe9,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0003.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0003_validation.csv,False
0004,117500,250,1691,2180,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0004.csv.gz,11767155,758c7d2f9d612353f93580b64c756427cdf3e1bc9e72540cf3fdfd84df43cbe6,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0004.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0004_validation.csv,False
0005,117500,250,2181,2666,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0005.csv.gz,11650305,272c60e3bd0f9659388d846e305fa73d5bbd8b9be00aa1fe933fea44722e6fa6,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0005.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0005_validation.csv,False
0006,117500,250,2669,3144,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0006.csv.gz,11828933,b67ef8cdf3b35d43f0459589260a065a90bc549ace3bc6290a231d35a4d1bc70,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0006.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0006_validation.csv,False
0007,117500,250,3148,3615,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0007.csv.gz,11752646,af2ce3392384f796f1ccf81fe0c64d1df8e037f9b1475873dec3ff5127ebd7e4,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0007.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0007_validation.csv,False
0008,117500,250,3616,4129,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0008.csv.gz,11767344,c4ad1f51f83aa0d66d7e0470c313f75f42d25b851c9d8aa89b2ce103a96a9aa5,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0008.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0008_validation.csv,False
0009,117500,250,4130,4639,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0009.csv.gz,11816638,e00d86f8571a3c5eebbdbaa2ef5a3a1362d61858243776d88267ef88f15c92f3,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0009.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0009_validation.csv,False
0010,117500,250,4640,5138,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0010.csv.gz,11833267,3f10a8dc195dfe0c76fd41ce60f2a16b208a54232da4b72d12ae3afad01d6a32,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0010.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0010_validation.csv,False
0011,117500,250,5140,5629,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0011.csv.gz,11792726,18da49ce84fe985884466f41a113169dab0875c347784ca8adf088e59e55ef18,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0011.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0011_validation.csv,False
0012,117500,250,5630,6157,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\chunks\nonstructural_loss_chunk_0012.csv.gz,11767309,40b4ab43485d2b274d1b43e9267d9aa6cc03d479211f8cec037574a2b6d8a0b0,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\markers\nonstructural_loss_chunk_0012.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_nonstructural_loss\work\chunk_validations\nonstructural_loss_chunk_0012_validation.csv,False
