occ_type,structural_complete_percent,nsd_complete_percent,nsa_complete_percent,complete_component_total_percent,difference_from_100_percentage_points,within_0p1_percentage_point,used_by_portfolio
AGR1,46.2,7.7,46.1,100.0,0.0,True,False
COM1,29.4,27.5,43.1,100.0,0.0,True,True
COM10,60.9,17.4,21.7,100.0,0.0,True,False
COM2,32.4,26.5,41.1,100.0,0.0,True,False
COM3,16.2,33.8,50.0,100.0,0.0,True,False
COM4,19.2,32.9,47.9,100.0,0.0,True,True
COM5,13.8,34.5,51.7,100.0,0.0,True,True
COM6,14.0,34.7,51.3,100.0,0.0,True,True
COM7,14.4,34.4,51.2,100.0,0.0,True,True
COM8,10.0,35.6,54.4,100.0,0.0,True,False
COM9,12.2,35.1,52.7,100.0,0.0,True,False
EDU1,18.9,48.7,32.4,100.0,0.0,True,False
EDU2,11.0,60.0,29.0,100.0,0.0,True,False
GOV1,17.9,32.8,49.3,100.0,0.0,True,False
GOV2,15.3,34.2,50.5,100.0,0.0,True,False
IND1,15.7,11.8,72.5,100.0,0.0,True,False
IND2,15.7,11.8,72.5,100.0,0.0,True,False
IND3,15.7,11.8,72.5,100.0,0.0,True,False
IND4,15.7,11.8,72.5,100.0,0.0,True,False
IND5,15.7,11.8,72.5,100.0,0.0,True,False
IND6,15.7,11.8,72.5,100.0,0.0,True,True
REL1,19.8,32.6,47.6,100.0,0.0,True,False
RES1,23.4,50.0,26.6,100.0,0.0,True,False
RES2,24.4,37.8,37.8,100.0,0.0,True,False
RES3A,13.8,42.5,43.7,100.0,0.0,True,False
RES3B,13.8,42.5,43.7,100.0,0.0,True,False
RES3C,13.8,42.5,43.7,100.0,0.0,True,False
RES3D,13.8,42.5,43.7,100.0,0.0,True,False
RES3E,13.8,42.5,43.7,100.0,0.0,True,False
RES3F,13.8,42.5,43.7,100.0,0.0,True,False
RES4,13.6,43.2,43.2,100.0,0.0,True,False
RES5,18.8,40.0,41.2,100.0,0.0,True,False
RES6,18.4,40.8,40.8,100.0,0.0,True,False
