component,source_path,sheet_name,rows,structural_types,slight_median_source_column,demand_type,median_unit,w2_present,all_medians_positive,all_betas_positive,all_medians_strictly_ordered
structural,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_W2_Structural_Fragility.xlsx,HighCode,36,36,sli_mod,spectral_displacement,in,True,True,True,True
structural,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_W2_Structural_Fragility.xlsx,ModerateCode,36,36,sli_mod,spectral_displacement,in,True,True,True,True
structural,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_W2_Structural_Fragility.xlsx,LowCode,36,36,sli_mod,spectral_displacement,in,True,True,True,True
structural,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_W2_Structural_Fragility.xlsx,PreCode,36,36,sli_mod,spectral_displacement,in,True,True,True,True
nonstructural_drift_sensitive,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_Nonstructural_Drift_Sensitive_Fragility.xlsx,HighCode,36,36,sli_mod,spectral_displacement,in,True,True,True,True
nonstructural_drift_sensitive,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_Nonstructural_Drift_Sensitive_Fragility.xlsx,ModerateCode,36,36,sli_mod,spectral_displacement,in,True,True,True,True
nonstructural_drift_sensitive,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_Nonstructural_Drift_Sensitive_Fragility.xlsx,LowCode,36,36,sli_mod,spectral_displacement,in,True,True,True,True
nonstructural_drift_sensitive,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_Nonstructural_Drift_Sensitive_Fragility.xlsx,PreCode,36,36,sli_mod,spectral_displacement,in,True,True,True,True
nonstructural_acceleration_sensitive,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_Nonstructural_Acceleration_Sensitive_Fragility.xlsx,HighCode,36,36,sli_med,spectral_acceleration,g,True,True,True,True
nonstructural_acceleration_sensitive,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_Nonstructural_Acceleration_Sensitive_Fragility.xlsx,ModerateCode,36,36,sli_med,spectral_acceleration,g,True,True,True,True
nonstructural_acceleration_sensitive,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_Nonstructural_Acceleration_Sensitive_Fragility.xlsx,LowCode,36,36,sli_med,spectral_acceleration,g,True,True,True,True
nonstructural_acceleration_sensitive,C:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\reference\hazus\fragility\HAZUS_Nonstructural_Acceleration_Sensitive_Fragility.xlsx,PreCode,36,36,sli_med,spectral_acceleration,g,True,True,True,True
