column,dtype,non_null_rows,null_rows,unique_non_null_values,sample_values
site_id,object,470,0,470,W2_0001 | W2_0002 | W2_0003
building_id,int64,470,0,470,565261083 | 565280784 | 565317817
bid,object,470,0,426,84QRX3RH+H5F-2-3-1-3 | 84QRX3QG+FP2-3-5-3-6 | 84QRX3XJ+8FH-4-5-4-5
occtype,object,470,0,6,COM4 | COM4 | COM1
st_damcat,object,470,0,2,COM | COM | COM
Longitude,float64,470,0,425,-123.9220712 | -123.9232456 | -123.9187622
Latitude,float64,470,0,426,45.991445762 | 45.988640928 | 45.998308943
SiteClass,object,470,0,1,CD | CD | CD
bldgtype,object,470,0,5,W | W | W
found_type,object,470,0,6,S | S | S
cbfips,int64,470,0,142,410079509003010 | 410079509003028 | 410079509002029
pop2amu65,int64,470,0,5,0 | 0 | 0
pop2amo65,int64,470,0,3,0 | 0 | 0
pop2pmu65,int64,470,0,23,0 | 2 | 0
pop2pmo65,int64,470,0,5,0 | 0 | 0
sqft,float64,470,0,276,360.796158 | 4207.25 | 5187.87
num_story,int64,470,0,3,2 | 1 | 1
ftprntid,object,470,0,443,41007_17592 | 41007_28393 | 41007_44672
ftprntsrc,object,307,163,2,Bing | Bing | Bing
students,int64,470,0,1,0 | 0 | 0
found_ht,float64,470,0,2,0.5 | 0.5 | 0.5
val_struct,float64,470,0,309,36444.3403 | 1382221.6 | 846505.592
val_cont,float64,470,0,309,36444.3403 | 1382221.6 | 846505.592
val_vehic,int64,470,0,22,9000 | 36000 | 72000
source,object,470,0,3,E | P | E
med_yr_blt,int64,470,0,10,1976 | 1976 | 1959
o65disable,float64,470,0,1,0.23 | 0.23 | 0.23
u65disable,float64,470,0,1,0.07 | 0.07 | 0.07
x,float64,470,0,425,-123.9220712 | -123.9232456 | -123.9187622
y,float64,470,0,426,45.991445762 | 45.988640928 | 45.998308943
ground_elv,float64,470,0,412,17.6488091642189 | 18.5833990732193 | 21.09690825071335
ground_el2,float64,470,0,412,5.379356861114502 | 5.664219856262207 | 6.430337429046631
firmzone,object,62,408,2,VE | AE | AE
geometry,object,470,0,426,POINT (-123.922071 45.991446) | POINT (-123.923246 45.988641) | POINT (-123.918762 45.998309)
guid,int64,470,0,470,565261083 | 565280784 | 565317817
struct_typ,object,470,0,1,W2 | W2 | W2
no_stories,int64,470,0,3,2 | 1 | 1
year_built,int64,470,0,10,1976 | 1976 | 1959
dgn_lvl,object,470,0,2,Pre - Code | Pre - Code | Pre - Code
storey_group,object,470,0,3,2 storey | 1 storey | 1 storey
Period_for_spectral_acceleration,float64,470,0,1,0.4 | 0.4 | 0.4
site_class_original,object,470,0,1,CD | CD | CD
longitude,float64,470,0,425,-123.9220712 | -123.9232456 | -123.9187622
latitude,float64,470,0,426,45.991445762 | 45.988640928 | 45.998308943
building_period_sec,float64,470,0,1,0.4 | 0.4 | 0.4
vs30_mps,float64,470,0,1,365.0 | 365.0 | 365.0
vs30_source,object,470,0,1,assigned_from_site_class_CD | assigned_from_site_class_CD | assigned_from_site_class_CD
vs30_is_measured,bool,470,0,1,False | False | False
primary_sa_imt_name,object,470,0,1,SA0P4 | SA0P4 | SA0P4
pga_imt_name,object,470,0,1,PGA | PGA | PGA
ground_motion_model_interface,object,470,0,1,PSBAH_20_CASCADIA_INTERFACE | PSBAH_20_CASCADIA_INTERFACE | PSBAH_20_CASCADIA_INTERFACE
ground_motion_model_slab,object,470,0,1,PSBAH_20_CASCADIA_SLAB | PSBAH_20_CASCADIA_SLAB | PSBAH_20_CASCADIA_SLAB
structural_type_normalized,object,470,0,1,W2 | W2 | W2
occupancy_normalized,object,470,0,6,COM4 | COM4 | COM1
floor_area_sqft_numeric,float64,470,0,276,360.796158 | 4207.25 | 5187.87
year_built_numeric,int64,470,0,10,1976 | 1976 | 1959
