chunk_id,rows,occurrences,minimum_occurrence_ordinal,maximum_occurrence_ordinal,sampled_loss_sum_2022_usd,analytical_expected_loss_sum_2022_usd,input_cell4_path,input_cell4_sha256,output_path,output_size_bytes,output_sha256,marker_path,validation_path,reused
0000,117500,250,0,249,848924224.27202,857784624.8011531,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0000.csv.gz,60a1100131d434a7e08bd58d286998f5bc280de2b685a3b67af95c41f53310ab,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0000.csv.gz,15008885,58df87f7f0547ad6e3bcb098cb1aa86950816018e35046030ca503f7bbf1b306,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0000.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0000_validation.csv,False
0001,117500,250,250,574,1030116663.1431754,1010368329.4879595,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0001.csv.gz,00ac110c01912df8969d467edbfb1c5af2d3d6571ad93451d6b7d6b1337a50f3,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0001.csv.gz,15030218,22a38330bfdfdaaf96fa33397311a69e3d63672eee1071d7dc238257a6fa2cda,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0001.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0001_validation.csv,False
0002,117500,250,576,1131,1331820656.4689062,1344080841.121632,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0002.csv.gz,ccc52655005b28eef8870922574295ac354c09522868d0c833c4d88c1a90d8a3,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0002.csv.gz,15078044,0accc5ebb43077a106bafe1b5673d06583ef83fc7d1988a420293e3bf3772fb5,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0002.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0002_validation.csv,False
0003,117500,250,1134,1690,1321344722.3451016,1326764789.195727,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0003.csv.gz,8483408741a09360fd4115843c263c516357965b184065b896153df41aa3aaa1,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0003.csv.gz,15073243,5d824997ee109026e5fd20bdd1f6a44bc7b39919ea41829babd62917851ae00a,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0003.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0003_validation.csv,False
0004,117500,250,1691,2180,1318331158.3984725,1328045530.5802886,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0004.csv.gz,d71a61bb3c88379b4335682ea2c90366f5a74078841e8ebda04030290fc26188,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0004.csv.gz,15074148,83591ba434eefe9541570de3aa6e35352c1d7d51e2d2816750dfd230fd7730ec,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0004.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0004_validation.csv,False
0005,117500,250,2181,2666,1235468502.9825342,1228021894.2583864,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0005.csv.gz,211834df006bb884ac3c252046838992a5fe4204ea4176864b4499273cb2ed02,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0005.csv.gz,15057331,e6a786a7e0edb16933f6681d9e14c65f8a1532915e6dec519ad5bcf60aecbe60,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0005.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0005_validation.csv,False
0006,117500,250,2669,3144,1294247398.8421748,1323270539.8676329,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0006.csv.gz,344e26bd1769b8e949cc1fd1b6bbf5627836a8b4e4f310db2bbc817e43a91cd5,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0006.csv.gz,15070179,dfd1c3a5de1d5c3abf0b96ed484448a1abbc84c5d05923c7421954392dcd84f8,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0006.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0006_validation.csv,False
0007,117500,250,3148,3615,1344122894.9908228,1351747765.2782726,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0007.csv.gz,ec688a63fd82cc966d1f6a651c176a3815c6b6c8c97b45604366a4fd7e3e2d87,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0007.csv.gz,15080635,98df3c7dd373cda0473a674cc43e612b0adc052d28cff0e1dca52c418e3e9c5d,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0007.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0007_validation.csv,False
0008,117500,250,3616,4129,1292072430.5318432,1279890002.6497684,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0008.csv.gz,64ab272b2dd66cc51a653d83ad75f8030219b0ea430151f6c3f2284b8d3ff054,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0008.csv.gz,15072360,d29c6f9d5caf6d39926a8846c33277613a476e11c0bb01e74178484fcef89590,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0008.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0008_validation.csv,False
0009,117500,250,4130,4639,1402094085.338093,1414422536.4215655,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_damage\chunks\structural_damage_chunk_0009.csv.gz,f6590a2636652bb9135f998382afa85e3863c8a9d806e67278c140e0d6581ba6,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_structural_loss\chunks\structural_loss_chunk_0009.csv.gz,15089677,f818eaa0fcdccf961241ecfd47c618a930cc4f421ba76ec0a078511527d75541,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\markers\structural_loss_chunk_0009.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\metadata\notebook_5_damage_loss\notebook_5_cell_5_work\chunk_validations\structural_loss_chunk_0009_validation.csv,False
