component,component_prefix,damage_state,damage_state_index,sampled_building_event_rows,sampled_proportion,analytical_expected_building_event_rows,analytical_expected_proportion,sampled_minus_expected_proportion
nonstructural_drift_sensitive,nsd,None,0,3449445,0.6904275334761114,3449722.896584551,0.6904831561787296,-5.562270261816327e-05
nonstructural_drift_sensitive,nsd,Slight,1,654132,0.13092852424891416,654450.2412757055,0.13099222218844808,-6.369793953392433e-05
nonstructural_drift_sensitive,nsd,Moderate,2,677450,0.13559576469646323,676408.0437655856,0.1353872107775236,0.00020855391893961905
nonstructural_drift_sensitive,nsd,Extensive,3,131878,0.026396189027441404,132267.583652425,0.026474166580417728,-7.797755297632436e-05
nonstructural_drift_sensitive,nsd,Complete,4,83195,0.016651988551069835,83251.23472173259,0.016663244274880924,-1.1255723811089136e-05
nonstructural_acceleration_sensitive,nsa,None,0,2366776,0.4737247052701107,2365498.5923179793,0.47346902430255183,0.00025568096755884673
nonstructural_acceleration_sensitive,nsa,Slight,1,764806,0.15308060287023878,765123.3409315974,0.1531441206003878,-6.351773014900974e-05
nonstructural_acceleration_sensitive,nsa,Moderate,2,783016,0.15672544584776124,782851.4068339189,0.1566925015179678,3.294432979344952e-05
nonstructural_acceleration_sensitive,nsa,Extensive,3,603858,0.12086587538279858,604074.9030762399,0.12090928986133982,-4.341447854123992e-05
nonstructural_acceleration_sensitive,nsa,Complete,4,477644,0.09560337062909069,478551.7568402646,0.09578506371775276,-0.00018169308866207434
