chunk_sequence,chunk_id,rows,occurrences,minimum_occurrence_ordinal,maximum_occurrence_ordinal,sampled_ground_up_loss_sum_2022_usd,gross_insured_loss_sum_2022_usd,uninsured_loss_sum_2022_usd,input_path,input_sha256,output_path,output_size_bytes,output_sha256,marker_path,validation_path,reused
0,0,117500,250,0,249,9792871665.098808,6206632826.642747,3586238838.456063,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0000.csv.gz,099418130b5135b9de06da0e0e5967386c54a7efffd37c6eb642b9e2049c8e06,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0000.csv.gz,23003935,1223fcb5fe0d4576b65cbcc6ec11098af6dde96eb57da50761290b4ae8247fbb,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0000.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0000_validation.csv,True
1,1,117500,250,250,574,11384762032.921413,7427182114.619813,3957579918.301603,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0001.csv.gz,49055f0a7b631f8fdbf638b7b69eddff0188972bb01934d31a940174611f122a,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0001.csv.gz,23368085,c393f62f7643c48bb4f9234a431aba3c46c6190ccc9116f1f486bf711a4c04d7,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0001.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0001_validation.csv,True
2,21,117500,250,416,10628,11699554166.643036,7500623923.772968,4198930242.8700666,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0021.csv.gz,28c38b7258200a998885861a38eea90a65178d025ab357a83fb37eff7f3ac389,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0021.csv.gz,23597049,aec1f5c12abce76e8e5bb4295d6864cad02f860576a7cf35f2515ca34b20aa96,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0021.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0021_validation.csv,True
3,2,117500,250,576,1131,15291718975.394766,9947986808.90775,5343732166.487016,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0002.csv.gz,5fe84a3ed2629f5ceee7d9f00e2092fb1d80147ca77c6d06f33ff0737907a3e4,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0002.csv.gz,24812244,696752a98d5c19889efdf184561c7ab73af56890f2b4d8dd6c16e328d0d28904,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0002.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0002_validation.csv,True
4,22,117500,250,600,2686,4447572316.970486,2400499313.0893946,2047073003.881092,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0022.csv.gz,0e352cf2c0be270ef8f6a2d8d5377254e9eebc3d90c6ae5304bf5e1c036e1549,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0022.csv.gz,21451536,493dc742eadb89fb0b7646fd0367e34044977e92026f026cab5c0b288cf30838,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0022.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0022_validation.csv,True
5,24,117500,250,918,10610,5101615324.269068,2818634475.72451,2282980848.5445566,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0024.csv.gz,40e56269e549382ec7e61866c86ca5bf703c4942f01593ab51b8a51e78deebd6,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0024.csv.gz,21685480,a60fd0c5c3f275736f962b3cdcd39f0e8b8e2b1de27a1e2f657fd06ac608afda,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0024.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0024_validation.csv,True
6,3,117500,250,1134,1690,14869162080.165377,9802910973.687925,5066251106.477451,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0003.csv.gz,6f34d31f131ba8d6476704411bdc59a373fc15172c232e0afbfe768c03a21266,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0003.csv.gz,24495206,0ff40bcb9f8de3dddd3f5533a303099a501db03516eb0c39a2ceb3329fe2b969,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0003.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0003_validation.csv,True
7,25,117500,250,1245,10617,3612529577.4190674,1948003547.0810738,1664526030.337993,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0025.csv.gz,9d84951de004130ee591b50350a0866fc196a2ecc2cb51194a908c5085373f7b,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0025.csv.gz,21029636,400a258af52dd6cae46732ae5d4cc5af3756e0a971f5b39f42389fd9da1dae32,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0025.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0025_validation.csv,True
8,26,117500,250,1441,1977,2884027207.060216,1437760398.0407028,1446266809.0195136,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0026.csv.gz,552ff475fabebee9a00e8829373fa62f3b87173c3cad49a4f0c9e1442ebdc077,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0026.csv.gz,20788617,bb33ee7ea4858c4d2e94cbb8f1e963892f16e7e2f0cc1597a2ca90be79bf464b,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0026.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0026_validation.csv,True
9,4,117500,250,1691,2180,14838730205.820593,9643787137.396547,5194943068.4240465,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_5_total_ground_up_loss\chunks\total_ground_up_loss_chunk_0004.csv.gz,9b618ce16d8af17ce56f33fc8aa4b2707c1257167a795235dbacfd306fdb1d59,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\chunks\baseline_insured_loss_chunk_0004.csv.gz,24622661,f642432abb4d622d7867015e5562f19061dbc74a34753da2769687dced4d04ca,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\markers\baseline_insured_loss_chunk_0004.json,c:\Users\USER\Documents\GitHub\seismic-correlation-insurance-loss\data\processed\notebook_6_baseline_insured_loss\work\chunk_validations\baseline_insured_loss_chunk_0004_validation.csv,True
