chunk_number,chunk_id,occurrences,rows,input_path,input_sha256,output_path,output_sha256,output_bytes,event_path,event_sha256,marker_path,marker_sha256,validation_path,validation_sha256,status
0,0000,5412,2543640,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0000.csv.gz,1bec40688727e3ebcef7677ba274568de45d7614e378f00230b2102b01557a6c,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/loss_chunks/paired_damage_loss_chunk_0000.csv.gz,6295dcd610dcad054c2c5c7d5524ce95621321a7c30553ecc8278b1458c8aca3,196766541,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/event_chunks/paired_event_loss_chunk_0000.csv.gz,c185d69dcd6032d29c2e804f21d4ddb544c6b3cba4196a8956423d703f5d49a3,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/completion_markers/paired_damage_loss_chunk_0000.complete.json,112ac062944e64d9fb3c0e2107b02fce66f1c42e4278c3b652aa5ba97b00259d,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/chunk_validation/paired_damage_loss_chunk_0000_validation.csv,929460e16fd407997ce49ba1ebeb0bc0b531d13ba8f5dddf4e11527184eb9b83,complete
1,0001,671,315370,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0001.csv.gz,11823cb7763032fe46308d7fe1412c1a155ffa8b37ce6feec44250ba12330c57,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/loss_chunks/paired_damage_loss_chunk_0001.csv.gz,5b38b29b0101ffb412d566457fb801376ec8b7e5186f0bfa9eb822c1a5a7e5bf,17093712,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/event_chunks/paired_event_loss_chunk_0001.csv.gz,2f76f82b5420bfbd286fbe5686fec9faa78353f56cd691cbec9c04205cddb81c,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/completion_markers/paired_damage_loss_chunk_0001.complete.json,5c9f992bbca799c69a4d9bf31056c38ec6948744d6219aa1864de1a5f873a78b,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/chunk_validation/paired_damage_loss_chunk_0001_validation.csv,4fbfaef5c69cbe92caef0836f66b2980cecc7e684b16a647f088bda25547aa64,complete
2,0002,416,195520,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0002.csv.gz,9bc115df696d07822e8992ffbce9cba6ee0c2b6f347a8102ed6b26c368f5393b,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/loss_chunks/paired_damage_loss_chunk_0002.csv.gz,87ca34209f0296b8d627438fdce36fb031c3697305c7ef85a07c8530ed0dcc90,8729336,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/event_chunks/paired_event_loss_chunk_0002.csv.gz,95b21d26446e5c25fb30f691a706f037b3e9b8aecbeb22240820fc2903f7f1e1,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/completion_markers/paired_damage_loss_chunk_0002.complete.json,51efb63c80d94f09bcaf15460db73ff84ae6c4708b5dafa866a7e6657a7ed6a5,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/chunk_validation/paired_damage_loss_chunk_0002_validation.csv,e38155e80d5e6f4519ceab7fcf88abe04394d7fc28e2bd3ece740d7502d8a96b,complete
3,0003,405,190350,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0003.csv.gz,91fcfaf420cab97be16ae189f7284fbf4ca6e44a7269192b066d1730f4eefb4f,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/loss_chunks/paired_damage_loss_chunk_0003.csv.gz,a918e3e23a5a3cc1c873a29c7b905691484d687266e6035c6a2fd6bc8337d06c,7949136,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/event_chunks/paired_event_loss_chunk_0003.csv.gz,597f7f862f226144c1e65384e0a4cbdd660fcda56084c642eb3fd63618a7df53,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/completion_markers/paired_damage_loss_chunk_0003.complete.json,37a194073baba072e734482b6edec02d4a6aae912483c9de402571bffb12762c,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/chunk_validation/paired_damage_loss_chunk_0003_validation.csv,1c675f5b4d1d5b3703ea287bfb4ce023f7bdfed4c3c0acbcd7f46e2b2c6780e8,complete
4,0004,372,174840,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0004.csv.gz,d4d825a89ffde86acd29ed30bb12a92692e2439b6d4be6235d0bebfd82ebd346,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/loss_chunks/paired_damage_loss_chunk_0004.csv.gz,8ca54ceb6f532d3c36049c2ae0dae9f5ced072c6c096bd644560368f2d24e8cd,7379755,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/event_chunks/paired_event_loss_chunk_0004.csv.gz,0069dca010b85db4cc2aa4623ec5728ed97aff63b62551fcfd900fe98b9d775e,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/completion_markers/paired_damage_loss_chunk_0004.complete.json,47f3d5cadc00cd5a2ec2f1cf755a2d4ec1fe5b57468ac906abd7fa8438735e23,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/chunk_validation/paired_damage_loss_chunk_0004_validation.csv,4997c4fad5947b6538e1894cf9e69c04a72bb5e4193abfa744ce2458bce97b22,complete
5,0005,387,181890,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0005.csv.gz,621e222c60fc6b0f914947784686ae62c185905e3dd41670f32ae7495c706518,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/loss_chunks/paired_damage_loss_chunk_0005.csv.gz,2fcece2b3ee97815cea9c4d2b7067c27012de5db65e1aac228313b749c5bc4cf,7592920,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/event_chunks/paired_event_loss_chunk_0005.csv.gz,0ee0e2849b4862bba23abbe505b37875bbc24c81a2360dc93002b46b231bc74f,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/completion_markers/paired_damage_loss_chunk_0005.complete.json,d471a614f69b852f294b786583421dc469bc7748145d7e08f12338a43e46aae7,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/chunk_validation/paired_damage_loss_chunk_0005_validation.csv,0a92183c5d4c12c90995dc0d88bfb74c16b11e4bfde27542fc822eba40f4832c,complete
6,0006,365,171550,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0006.csv.gz,5ee47bc1d057089d2da4e1822c6d2ffe3a0dc03e2f40e7bc7d72db4be429ea4b,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/loss_chunks/paired_damage_loss_chunk_0006.csv.gz,0462036edf531ab86bf568cc28920a8ddc01b482ab8b8498ba7544fdcc3c45ab,7342983,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/event_chunks/paired_event_loss_chunk_0006.csv.gz,56a4bd647bc9ced24e22d1e8cd47d205d50b89aa2a45d663d8586f8402b52c09,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/completion_markers/paired_damage_loss_chunk_0006.complete.json,149efa5392256f66ab96d43d9cd972915fb36d0491075528718fe281f1b267e0,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/chunk_validation/paired_damage_loss_chunk_0006_validation.csv,7580b8fd6b725d125f33c1f2eb09eb41a72ed003103ce1f3ae55389532bb221d,complete
7,0007,334,156980,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0007.csv.gz,0dd639d5317c09e4819e8c18d081f15b27215e0c94f1d4998c441089335c1458,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/loss_chunks/paired_damage_loss_chunk_0007.csv.gz,a13ef0e191fd434eb1180bc2fcd80daed558733f64d590da06c5c17f310aea25,6726906,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/event_chunks/paired_event_loss_chunk_0007.csv.gz,7f08d6a6e4f078ee3e2dc3a903c6cd1ffe81b902c0e0229bcb03353fc618773e,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/completion_markers/paired_damage_loss_chunk_0007.complete.json,e97b5022364deb44b9b7193d722c8ab1d88da1f8a4343587905f31226fa9e1a2,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/chunk_validation/paired_damage_loss_chunk_0007_validation.csv,52cbca545df5ebcec6c4287b71e22370b0d75ab33334f9e41f36a686baac73ee,complete
8,0008,324,152280,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0008.csv.gz,047e0675103e823af56da2183c01a93bbdb836c9a57e3e9a0c4131251b9dc0dc,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/loss_chunks/paired_damage_loss_chunk_0008.csv.gz,0c5f895b988fd903864331f257240a68f840b13944f33f74a4c8442fdea157e2,6465689,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/event_chunks/paired_event_loss_chunk_0008.csv.gz,add28703230477de636b96bebb4d55bfc5f52ce8ead1b887117b3cb8d05ad23a,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/completion_markers/paired_damage_loss_chunk_0008.complete.json,353c0d90968e1a062ed1bc44073c7355fe2b11eb9d72cc0de7243920e021e4c0,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/chunk_validation/paired_damage_loss_chunk_0008_validation.csv,3e32168085ac0e181095960cfc6c6f407f15c8aebd4d9fdf26c5f8afaeb14bf5,complete
9,0009,321,150870,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0009.csv.gz,da1fa9d207aa01af9958a5dc5354229628f2d38e3f1fdd60e010acaba54c3b7c,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/loss_chunks/paired_damage_loss_chunk_0009.csv.gz,800e983c485c7789655ac22786b50e44079819ce5a1287a6f9db3f9afb23af3e,6874625,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/event_chunks/paired_event_loss_chunk_0009.csv.gz,24fd3987041c27d58b29d188d5de3033c577fc914e0053cd36894af984302934,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/completion_markers/paired_damage_loss_chunk_0009.complete.json,338d73d74b40ff5611ed42f67dd61d822e7931544068b037498e926107471572,data/metadata/phase_2/notebook_10_correlated_damage_loss_work/chunk_validation/paired_damage_loss_chunk_0009_validation.csv,ce2b6325cb522db0b2ad1af127ded2c92bcf226c6ac0c1e457c2f66bec7fdac7,complete
