case_name,case_prefix,loss_basis,curve_type,return_period_years,order_statistic_rank,tail_support_sufficient,pml_2022_usd
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,250,8000,True,796210.4555171994
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,500,4000,True,37757441.16325381
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,1000,2000,True,75397954.56171635
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,2000,1000,True,105089099.75862092
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,2500,800,True,113224851.77210844
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,5000,400,True,136493937.7877463
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,10000,200,True,158901129.60853463
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,20000,100,True,176719549.89548907
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,50000,40,True,199268205.3764552
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,100000,20,True,215391176.9077409
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,200000,10,False,226213072.43491083
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,500000,4,False,247763064.0140003
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,1000000,2,False,255685606.61571932
I0_PHASE1_INDEPENDENT,i0,ground_up,aep,2000000,1,False,282749467.8026793
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,250,8000,True,796210.4555171994
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,500,4000,True,37757441.16325381
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,1000,2000,True,75375373.74942997
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,2000,1000,True,105049458.38076323
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,2500,800,True,113005775.26042736
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,5000,400,True,136419436.34101933
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,10000,200,True,158155937.84227994
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,20000,100,True,175743423.02325767
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,50000,40,True,196844852.5132847
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,100000,20,True,215391176.9077409
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,200000,10,False,226213072.43491083
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,500000,4,False,247763064.0140003
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,1000000,2,False,255685606.61571932
I0_PHASE1_INDEPENDENT,i0,ground_up,oep,2000000,1,False,282749467.8026793
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,250,8000,True,9953.902420044236
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,500,4000,True,18811083.540145434
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,1000,2000,True,47896738.67299797
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,2000,1000,True,73243559.51759347
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,2500,800,True,80748393.05603094
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,5000,400,True,102356447.56242976
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,10000,200,True,122756158.68809128
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,20000,100,True,140343076.7506676
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,50000,40,True,159608668.4076304
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,100000,20,True,177724333.83312032
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,200000,10,False,188669633.6116764
I0_PHASE1_INDEPENDENT,i0,gross_insured,aep,500000,4,False,210111664.1746652
