design_id,case_name,case_prefix,structure,application_order,calibration_basis,attachment_return_period_years,exhaustion_return_period_years,attachment_order_statistic_rank,exhaustion_order_statistic_rank,attachment_2022_usd,limit_2022_usd,exhaustion_2022_usd,participation,aggregate_trigger_years,aggregate_exhaustion_years,retained_aep_2500yr_pml_2022_usd,tvar99_5_capital_relief_per_expected_ceded_dollar,catalog_years,gross_aal_2022_usd,ceded_aal_2022_usd,retained_aal_2022_usd,gross_annual_standard_deviation_2022_usd,ceded_annual_standard_deviation_2022_usd,retained_annual_standard_deviation_2022_usd,maximum_gross_aep_2022_usd,maximum_ceded_aep_2022_usd,maximum_retained_aep_2022_usd,ceded_share_of_gross_aal,tail_count_99,gross_var_99_2022_usd,ceded_var_99_2022_usd,retained_var_99_2022_usd,gross_tvar_99_2022_usd,ceded_tvar_99_2022_usd,retained_tvar_99_2022_usd,gross_var_economic_capital_99_2022_usd,retained_var_economic_capital_99_2022_usd,gross_var_economic_capital_floored_99_2022_usd,retained_var_economic_capital_floored_99_2022_usd,gross_tvar_tail_capital_99_2022_usd,retained_tvar_tail_capital_99_2022_usd,var_capital_relief_99_2022_usd,tvar_capital_relief_99_2022_usd,var_capital_informative_99,tail_count_99_5,gross_var_99_5_2022_usd,ceded_var_99_5_2022_usd,retained_var_99_5_2022_usd,gross_tvar_99_5_2022_usd,ceded_tvar_99_5_2022_usd,retained_tvar_99_5_2022_usd,gross_var_economic_capital_99_5_2022_usd,retained_var_economic_capital_99_5_2022_usd,gross_var_economic_capital_floored_99_5_2022_usd,retained_var_economic_capital_floored_99_5_2022_usd,gross_tvar_tail_capital_99_5_2022_usd,retained_tvar_tail_capital_99_5_2022_usd,var_capital_relief_99_5_2022_usd,tvar_capital_relief_99_5_2022_usd,var_capital_informative_99_5
AGG_01,I0_PHASE1_INDEPENDENT,i0,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,100,1000,20000,2000,0.0,47896738.67299797,47896738.67299797,1.0,8172,2000,32851654.383032978,198.98000199980007,2000000,122979.55996732846,89915.41572053128,33064.14424679718,2931863.5174367586,1866681.0548394083,1396403.281312657,244325807.3326858,47896738.67299797,196429068.65968782,0.7311411404010454,20001,0.0,0.0,0.0,12297341.129676362,8991092.017452253,3306249.1122241067,-122979.55996732846,-33064.14424679718,0.0,0.0,12174361.569709035,3273184.9679773096,-89915.41572053128,8901176.601731725,False,10001,0.0,0.0,0.0,24593452.648200873,17981285.01560469,6612167.632596176,-122979.55996732846,-33064.14424679718,0.0,0.0,24470473.088233545,6579103.488349379,-89915.41572053128,17891369.599884167,False
AGG_01,I0_PHASE1_INDEPENDENT,i0,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,100,1000,20000,2000,0.0,47896738.67299797,47896738.67299797,1.0,8172,310,0.0,198.98000199980007,2000000,122979.55996732846,119082.31701159912,3897.2429557293117,2931863.5174367586,2750170.6471932316,421384.5576599218,244325807.3326858,131603479.15453725,134591085.3447697,0.9683098316763802,20001,0.0,0.0,0.0,12297341.129676362,11907636.319343945,389704.81033241446,-122979.55996732846,-3897.2429557293117,0.0,0.0,12174361.569709035,385807.56737668515,-119082.31701159915,11788554.00233235,False,10001,0.0,0.0,0.0,24593452.648200873,23814081.99412041,779370.6540804541,-122979.55996732846,-3897.2429557293117,0.0,0.0,24470473.088233545,775473.4111247248,-119082.31701159915,23694999.67710882,False
AGG_02,I0_PHASE1_INDEPENDENT,i0,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,100,2500,20000,800,0.0,80748393.05603094,80748393.05603094,1.0,8172,800,0.0,198.98000199980007,2000000,122979.55996732846,111474.26947815149,11505.29048917696,2931863.5174367586,2479625.473877944,769271.6325130557,244325807.3326858,80748393.05603094,163577414.27665484,0.9064455061293638,20001,0.0,0.0,0.0,12297341.129676362,11146869.604334932,1150471.5253414288,-122979.55996732846,-11505.29048917696,0.0,0.0,12174361.569709035,1138966.2348522518,-111474.2694781515,11035395.334856782,False,10001,0.0,0.0,0.0,24593452.648200873,22292624.63316698,2300828.0150338886,-122979.55996732846,-11505.29048917696,0.0,0.0,24470473.088233545,2289322.724544712,-111474.2694781515,22181150.363688834,False
AGG_02,I0_PHASE1_INDEPENDENT,i0,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,100,2500,20000,800,0.0,80748393.05603094,80748393.05603094,1.0,8172,86,0.0,198.98000199980007,2000000,122979.55996732846,122034.9215014497,944.6384658787315,2931863.5174367586,2879004.1749874405,194946.27819752946,244325807.3326858,150341086.48595595,101739430.96173671,0.9923187360067827,20001,0.0,0.0,0.0,12297341.129676362,12202882.00604467,94459.12363169157,-122979.55996732846,-944.6384658787315,0.0,0.0,12174361.569709035,93514.48516581285,-122034.92150144973,12080847.084543223,False,10001,0.0,0.0,0.0,24593452.648200873,24404543.845905352,188908.80229551677,-122979.55996732846,-944.6384658787315,0.0,0.0,24470473.088233545,187964.16382963804,-122034.92150144973,24282508.924403906,False
AGG_03,I0_PHASE1_INDEPENDENT,i0,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,100,5000,20000,400,0.0,102356447.56242976,102356447.56242976,1.0,8172,400,0.0,198.98000199980004,2000000,122979.55996732846,117750.95861012411,5228.601357204335,2931863.5174367586,2698334.6188904494,495664.39627121406,244325807.3326858,102356447.56242976,141969359.77025604,0.9574839806013828,20001,0.0,0.0,0.0,12297341.129676362,11774507.135655629,522833.9940207326,-122979.55996732846,-5228.601357204335,0.0,0.0,12174361.569709035,517605.39266352827,-117750.95861012413,11656756.177045505,False,10001,0.0,0.0,0.0,24593452.648200873,23547836.93833099,1045615.7098698802,-122979.55996732846,-5228.601357204335,0.0,0.0,24470473.088233545,1040387.1085126759,-117750.95861012413,23430085.97972087,False
AGG_03,I0_PHASE1_INDEPENDENT,i0,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,100,5000,20000,400,0.0,102356447.56242976,102356447.56242976,1.0,8172,33,0.0,198.98000199980007,2000000,122979.55996732846,122637.74183185564,341.8181354727959,2931863.5174367586,2910580.89751714,110349.87566118785,244325807.3326858,164194430.8773479,80131376.45533791,0.997220528878428,20001,0.0,0.0,0.0,12297341.129676362,12263161.025134308,34180.10454205249,-122979.55996732846,-341.8181354727959,0.0,0.0,12174361.569709035,33838.2864065797,-122637.74183185566,12140523.283302454,False,10001,0.0,0.0,0.0,24593452.648200873,24525095.85678545,68356.79141541764,-122979.55996732846,-341.8181354727959,0.0,0.0,24470473.088233545,68014.97327994484,-122637.74183185566,24402458.1149536,False
AGG_04,I0_PHASE1_INDEPENDENT,i0,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,100,10000,20000,200,0.0,122756158.68809128,122756158.68809128,1.0,8172,200,0.0,198.98000199980007,2000000,122979.55996732846,120668.97905157076,2310.5809157576978,2931863.5174367586,2816061.8293321063,314485.3160685531,244325807.3326858,122756158.68809128,121569648.64459452,0.9812116670740118,20001,0.0,0.0,0.0,12297341.129676362,12066294.590427553,231046.53924880733,-122979.55996732846,-2310.5809157576978,0.0,0.0,12174361.569709035,228735.95833304964,-120668.97905157076,11945625.611375986,False,10001,0.0,0.0,0.0,24593452.648200873,24131382.672046944,462069.97615392413,-122979.55996732846,-2310.5809157576978,0.0,0.0,24470473.088233545,459759.39523816644,-120668.97905157076,24010713.69299538,False
AGG_04,I0_PHASE1_INDEPENDENT,i0,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,100,10000,20000,200,0.0,122756158.68809128,122756158.68809128,1.0,8172,14,0.0,198.98000199980007,2000000,122979.55996732846,122865.84477434076,113.71519298768365,2931863.5174367586,2924092.2205126463,59615.41139693995,244325807.3326858,184594142.00300944,59731665.32967636,0.9990753325754466,20001,0.0,0.0,0.0,12297341.129676362,12285970.17892513,11370.950751230805,-122979.55996732846,-113.71519298768365,0.0,0.0,12174361.569709035,11257.235558243121,-122865.84477434077,12163104.334150791,False,10001,0.0,0.0,0.0,24593452.648200873,24570711.883679785,22740.764521084624,-122979.55996732846,-113.71519298768365,0.0,0.0,24470473.088233545,22627.04932809694,-122865.84477434077,24447846.03890545,False
AGG_05,I0_PHASE1_INDEPENDENT,i0,STANDALONE_ANNUAL_AGGREGATE,annual aggregate only,I0 gross insured AEP PML,250,1000,8000,2000,9953.902420044236,47886784.77057792,47896738.67299797,1.0,7999,2000,32861608.28545302,198.9800019998001,2000000,122979.55996732846,89875.01275279943,33104.54721452901,2931863.5174367586,1866203.5819878848,1396638.137136843,244325807.3326858,47886784.77057792,196439022.56210786,0.7308126063930966,20001,0.0,0.0,0.0,12297341.129676362,8987051.922683809,3310289.206992551,-122979.55996732846,-33104.54721452901,0.0,0.0,12174361.569709035,3277184.659778022,-89875.01275279945,8897176.909931011,False,10001,0.0,0.0,0.0,24593452.648200873,17973205.23003688,6620247.418163986,-122979.55996732846,-33104.54721452901,0.0,0.0,24470473.088233545,6587142.8709494565,-89875.01275279945,17883330.21728409,False
AGG_05,I0_PHASE1_INDEPENDENT,i0,STACKED_AFTER_FROZEN_OCCURRENCE,"frozen occurrence XoL, then annual aggregate",I0 gross insured AEP PML,250,1000,8000,2000,9953.902420044236,47886784.77057792,47896738.67299797,1.0,7999,310,9953.902420044295,198.98000199980007,2000000,122979.55996732846,119041.9140438673,3937.6459234611425,2931863.5174367586,2749741.43247894,421476.7079668992,244325807.3326858,131593525.2521172,134601039.24718973,0.9679812976684317,20001,0.0,0.0,0.0,12297341.129676362,11903596.224575501,393744.9051008592,-122979.55996732846,-3937.6459234611425,0.0,0.0,12174361.569709035,389807.25917739805,-119041.91404386732,11784554.310531637,False,10001,0.0,0.0,0.0,24593452.648200873,23806002.208552603,787450.4396482636,-122979.55996732846,-3937.6459234611425,0.0,0.0,24470473.088233545,783512.7937248024,-119041.91404386732,23686960.294508744,False
