case_name,case_prefix,loss_basis,risk_measure,confidence,portfolio_risk_2022_usd,sum_standalone_risk_2022_usd,diversification_benefit,units
I0_PHASE1_INDEPENDENT,i0,gross_insured,aal,,122979.55996732846,122979.55996732845,-2.220446049250313e-16,470
I0_PHASE1_INDEPENDENT,i0,gross_insured,var,0.99,0.0,0.0,,470
I0_PHASE1_INDEPENDENT,i0,gross_insured,tvar,0.99,12297341.129676362,12297341.12967636,-2.220446049250313e-16,470
I0_PHASE1_INDEPENDENT,i0,gross_insured,var,0.995,0.0,0.0,,470
I0_PHASE1_INDEPENDENT,i0,gross_insured,tvar,0.995,24593452.648200873,24593452.64820087,-2.220446049250313e-16,470
C1_ALDEA22_SUBDUCTION,c1,gross_insured,aal,,123443.42922816567,123443.42922816565,-2.220446049250313e-16,470
C1_ALDEA22_SUBDUCTION,c1,gross_insured,var,0.99,0.0,0.0,,470
C1_ALDEA22_SUBDUCTION,c1,gross_insured,tvar,0.99,12343725.736529741,12343725.736529741,0.0,470
C1_ALDEA22_SUBDUCTION,c1,gross_insured,var,0.995,0.0,0.0,,470
C1_ALDEA22_SUBDUCTION,c1,gross_insured,tvar,0.995,24686217.223910745,24686217.22391074,-2.220446049250313e-16,470
C2_GODA_ATKINSON09,c2,gross_insured,aal,,123335.6774168985,123335.67741689848,-2.220446049250313e-16,470
C2_GODA_ATKINSON09,c2,gross_insured,var,0.99,0.0,0.0,,470
C2_GODA_ATKINSON09,c2,gross_insured,tvar,0.99,12332951.094135143,12332951.094135141,-2.220446049250313e-16,470
C2_GODA_ATKINSON09,c2,gross_insured,var,0.995,0.0,0.0,,470
C2_GODA_ATKINSON09,c2,gross_insured,tvar,0.995,24664669.01647805,24664669.01647805,0.0,470
