design_id,case_name,case_prefix,attachment_return_period_years,exhaustion_return_period_years,attachment_order_statistic_rank,exhaustion_order_statistic_rank,attachment_2022_usd,limit_2022_usd,exhaustion_2022_usd,participation,triggering_occurrences,exhausting_occurrences,attachment_annual_frequency,exhaustion_annual_frequency,retained_aep_2500yr_pml_2022_usd,tvar99_5_capital_relief_per_expected_ceded_dollar,catalog_years,gross_aal_2022_usd,ceded_aal_2022_usd,retained_aal_2022_usd,gross_annual_standard_deviation_2022_usd,ceded_annual_standard_deviation_2022_usd,retained_annual_standard_deviation_2022_usd,maximum_gross_aep_2022_usd,maximum_ceded_aep_2022_usd,maximum_retained_aep_2022_usd,ceded_share_of_gross_aal,tail_count_99,gross_var_99_2022_usd,ceded_var_99_2022_usd,retained_var_99_2022_usd,gross_tvar_99_2022_usd,ceded_tvar_99_2022_usd,retained_tvar_99_2022_usd,gross_var_economic_capital_99_2022_usd,retained_var_economic_capital_99_2022_usd,gross_var_economic_capital_floored_99_2022_usd,retained_var_economic_capital_floored_99_2022_usd,gross_tvar_tail_capital_99_2022_usd,retained_tvar_tail_capital_99_2022_usd,var_capital_relief_99_2022_usd,tvar_capital_relief_99_2022_usd,var_capital_informative_99,tail_count_99_5,gross_var_99_5_2022_usd,ceded_var_99_5_2022_usd,retained_var_99_5_2022_usd,gross_tvar_99_5_2022_usd,ceded_tvar_99_5_2022_usd,retained_tvar_99_5_2022_usd,gross_var_economic_capital_99_5_2022_usd,retained_var_economic_capital_99_5_2022_usd,gross_var_economic_capital_floored_99_5_2022_usd,retained_var_economic_capital_floored_99_5_2022_usd,gross_tvar_tail_capital_99_5_2022_usd,retained_tvar_tail_capital_99_5_2022_usd,var_capital_relief_99_5_2022_usd,tvar_capital_relief_99_5_2022_usd,var_capital_informative_99_5
OCC_01,I0_PHASE1_INDEPENDENT,i0,100,1000,20000,2000,0.0,47812543.5053731,47812543.5053731,1.0,8194,2002,0.004097,0.001001,32836523.349690475,198.9800019998001,2000000,122979.55996732846,89954.74079175254,33024.819175575896,2931863.5174367586,1868847.214350885,1393859.1871350147,244325807.3326858,95625087.0107462,196513263.8273127,0.7314609095661954,20001,0.0,0.0,0.0,12297341.129676362,8995024.327958858,3302316.8017175035,-122979.55996732846,-33024.819175575896,0.0,0.0,12174361.569709035,3269291.9825419276,-89954.74079175256,8905069.587167107,False,10001,0.0,0.0,0.0,24593452.648200873,17989149.24342617,6604303.404774701,-122979.55996732846,-33024.819175575896,0.0,0.0,24470473.088233545,6571278.585599125,-89954.74079175256,17899194.50263442,False
OCC_02,I0_PHASE1_INDEPENDENT,i0,100,2500,20000,800,0.0,80649066.85506357,80649066.85506357,1.0,8194,800,0.004097,0.0004,1.4901161193847656e-08,198.98000199980007,2000000,122979.55996732846,111523.15899119376,11456.400976134688,2931863.5174367586,2481873.727813858,767056.4077268633,244325807.3326858,128035832.20222467,163676740.4776222,0.9068430479083005,20001,0.0,0.0,0.0,12297341.129676362,11151758.311203815,1145582.818472545,-122979.55996732846,-11456.400976134688,0.0,0.0,12174361.569709035,1134126.4174964102,-111523.15899119378,11040235.152212624,False,10001,0.0,0.0,0.0,24593452.648200873,22302401.558082942,2291051.0901179253,-122979.55996732846,-11456.400976134688,0.0,0.0,24470473.088233545,2279594.689141791,-111523.15899119378,22190878.399091754,False
OCC_03,I0_PHASE1_INDEPENDENT,i0,100,5000,20000,400,0.0,102204649.01167828,102204649.01167828,1.0,8194,400,0.004097,0.0002,0.0,198.98000199980007,2000000,122979.55996732846,117779.6757319903,5199.884235338143,2931863.5174367586,2699720.8915984305,494727.0981300291,244325807.3326858,142884489.71844485,142121158.32100752,0.957717491941591,20001,0.0,0.0,0.0,12297341.129676362,11777378.704263816,519962.4254125436,-122979.55996732846,-5199.884235338143,0.0,0.0,12174361.569709035,514762.54117720545,-117779.67573199031,11659599.028531829,False,10001,0.0,0.0,0.0,24593452.648200873,23553579.788419217,1039872.8597816504,-122979.55996732846,-5199.884235338143,0.0,0.0,24470473.088233545,1034672.9755463122,-117779.67573199031,23435800.112687234,False
OCC_04,I0_PHASE1_INDEPENDENT,i0,100,10000,20000,200,0.0,122264317.26838058,122264317.26838058,1.0,8194,200,0.004097,0.0001,0.0,198.98000199980004,2000000,122979.55996732846,120645.09089856363,2334.469068764827,2931863.5174367586,2815115.184632236,316832.1733400371,244325807.3326858,150341086.48595595,122061490.06430522,0.9810174221684886,20001,0.0,0.0,0.0,12297341.129676362,12063905.894561635,233435.235114727,-122979.55996732846,-2334.469068764827,0.0,0.0,12174361.569709035,231100.76604596217,-120645.09089856363,11943260.803663073,False,10001,0.0,0.0,0.0,24593452.648200873,24126605.51916081,466847.12904006144,-122979.55996732846,-2334.469068764827,0.0,0.0,24470473.088233545,464512.6599712966,-120645.09089856363,24005960.42826225,False
OCC_05,I0_PHASE1_INDEPENDENT,i0,250,1000,8000,2000,9953.902420044236,47802589.602953054,47812543.5053731,1.0,8019,2002,0.0040095,0.001001,32846477.25211052,198.9800019998001,2000000,122979.55996732846,89914.2292900765,33065.33067725193,2931863.5174367586,1868367.2900362308,1394095.4390485217,244325807.3326858,95605179.20590611,196523217.72973275,0.7311314930217973,20001,0.0,0.0,0.0,12297341.129676362,8990973.380338635,3306367.749337726,-122979.55996732846,-33065.33067725193,0.0,0.0,12174361.569709035,3273302.418660474,-89914.22929007653,8901059.15104856,False,10001,0.0,0.0,0.0,24593452.648200873,17981047.75323998,6612404.89496089,-122979.55996732846,-33065.33067725193,0.0,0.0,24470473.088233545,6579339.564283637,-89914.22929007653,17891133.523949906,False
OCC_06,I0_PHASE1_INDEPENDENT,i0,250,2500,8000,800,9953.902420044236,80639112.95264353,80649066.85506357,1.0,8019,800,0.0040095,0.0004,19907.80484010279,198.9800019998001,2000000,122979.55996732846,111482.64748951771,11496.912477810718,2931863.5174367586,2481425.705426702,767205.3852128062,244325807.3326858,128015924.39738458,163686694.38004225,0.9065136313639023,20001,0.0,0.0,0.0,12297341.129676362,11147707.363583593,1149633.766092767,-122979.55996732846,-11496.912477810718,0.0,0.0,12174361.569709035,1138136.8536149564,-111482.64748951774,11036224.716094078,False,10001,0.0,0.0,0.0,24593452.648200873,22294300.067896754,2299152.5803041128,-122979.55996732846,-11496.912477810718,0.0,0.0,24470473.088233545,2287655.667826302,-111482.64748951774,22182817.420407243,False
OCC_07,I0_PHASE1_INDEPENDENT,i0,250,5000,8000,400,9953.902420044236,102194695.10925823,102204649.01167828,1.0,8019,400,0.0040095,0.0002,9953.902420044411,198.98000199980007,2000000,122979.55996732846,117739.16423031427,5240.395737014175,2931863.5174367586,2699285.9449748374,494832.15493213263,244325807.3326858,142864581.91360477,142131112.22342756,0.957388075397193,20001,0.0,0.0,0.0,12297341.129676362,11773327.756643595,524013.3730327657,-122979.55996732846,-5240.395737014175,0.0,0.0,12174361.569709035,518772.9772957515,-117739.16423031429,11655588.592413284,False,10001,0.0,0.0,0.0,24593452.648200873,23545478.298233032,1047974.3499678379,-122979.55996732846,-5240.395737014175,0.0,0.0,24470473.088233545,1042733.9542308238,-117739.16423031429,23427739.134002723,False
OCC_08,I0_PHASE1_INDEPENDENT,i0,250,10000,8000,200,9953.902420044236,122254363.36596054,122264317.26838058,1.0,8019,200,0.0040095,0.0001,9953.902420044295,198.98000199980004,2000000,122979.55996732846,120604.5793968876,2374.9805704408586,2931863.5174367586,2814687.928900302,316906.1377417509,244325807.3326858,150321178.68111587,122071443.96672526,0.9806880056240905,20001,0.0,0.0,0.0,12297341.129676362,12059854.946941411,237486.18273494914,-122979.55996732846,-2374.9805704408586,0.0,0.0,12174361.569709035,235111.2021645083,-120604.5793968876,11939250.367544526,False,10001,0.0,0.0,0.0,24593452.648200873,24118504.02897462,474948.61922624917,-122979.55996732846,-2374.9805704408586,0.0,0.0,24470473.088233545,472573.6386558083,-120604.5793968876,23997899.449577738,False
OCC_09,I0_PHASE1_INDEPENDENT,i0,500,1000,4000,2000,18811083.540145434,29001459.965227664,47812543.5053731,1.0,4005,2002,0.0020025,0.001001,51743393.16771059,198.98000199980018,2000000,122979.55996732846,42108.17912782484,80871.3808395036,2931863.5174367586,1040814.0776952204,2002493.7228128826,244325807.3326858,58002919.93045533,215324347.36745813,0.34239981944163383,20001,0.0,0.0,0.0,12297341.129676362,4210607.382413364,8086733.747262997,-122979.55996732846,-80871.3808395036,0.0,0.0,12174361.569709035,8005862.366423493,-42108.17912782486,4168499.2032855414,False,10001,0.0,0.0,0.0,24593452.648200873,8420793.74619035,16172658.902010519,-122979.55996732846,-80871.3808395036,0.0,0.0,24470473.088233545,16091787.521171015,-42108.17912782486,8378685.567062531,False
OCC_10,I0_PHASE1_INDEPENDENT,i0,500,2500,4000,800,18811083.540145434,61837983.31491814,80649066.85506357,1.0,4005,800,0.0020025,0.0004,19364973.8072026,198.98000199980012,2000000,122979.55996732846,63676.597327266056,59302.9626400624,2931863.5174367586,1713997.4602907351,1357534.2604546293,244325807.3326858,90413665.12193379,182487824.01776767,0.5177819577837389,20001,0.0,0.0,0.0,12297341.129676362,6367341.365658323,5929999.764018037,-122979.55996732846,-59302.9626400624,0.0,0.0,12174361.569709035,5870696.801377975,-63676.59732726606,6303664.768331059,False,10001,0.0,0.0,0.0,24593452.648200873,12734046.060847128,11859406.58735374,-122979.55996732846,-59302.9626400624,0.0,0.0,24470473.088233545,11800103.624713678,-63676.59732726606,12670369.463519868,False
