case_name,case_prefix,program,loss_basis,curve_type,return_period_years,order_statistic_rank,tail_support_sufficient,pml_2022_usd
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,250,8000,True,9953.902420044236
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,500,4000,True,18811083.540145434
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,1000,2000,True,47896738.67299797
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,2000,1000,True,73243559.51759347
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,2500,800,True,80748393.05603094
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,5000,400,True,102356447.56242976
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,10000,200,True,122756158.68809128
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,20000,100,True,140343076.7506676
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,50000,40,True,159608668.4076304
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,100000,20,True,177724333.83312032
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,200000,10,False,188669633.6116764
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,500000,4,False,210111664.1746652
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,1000000,2,False,217639236.3065385
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,gross,aep,2000000,1,False,244325807.3326858
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,250,8000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,500,4000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,1000,2000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,2000,1000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,2500,800,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,5000,400,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,10000,200,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,20000,100,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,50000,40,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,100000,20,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,200000,10,False,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,500000,4,False,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,1000000,2,False,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,ceded,aep,2000000,1,False,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,retained,aep,50,40000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,retained,aep,100,20000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,retained,aep,200,10000,True,0.0
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,retained,aep,250,8000,True,9953.902420044236
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,retained,aep,500,4000,True,18811083.540145434
I0_PHASE1_INDEPENDENT,i0,NO_REINSURANCE,retained,aep,1000,2000,True,47896738.67299797
