program,case_series,baseline_series,metric_name,metric_kind,case_value_2022_usd,baseline_value_2022_usd,absolute_change_2022_usd,percent_change,bootstrap_standard_error_2022_usd,bootstrap_ci_lower_2022_usd,bootstrap_ci_upper_2022_usd,bootstrap_replicates,bootstrap_seed,bootstrap_method
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aal,mean,123443.42922816574,122979.55996732827,463.8692608374695,0.3771921618199947,1251.3399303828578,-1697.7279880047324,3185.8373107447774,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9574709.384464605,18811083.540145434,-9236374.15568083,-49.10070244475359,383670.5510660744,-9907504.606635047,-8376978.702811292,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,42650487.0254056,47896738.67299797,-5246251.647592366,-10.95325442387577,828918.6069539489,-6640085.742887441,-3279978.56392808,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,94963940.29754813,80748393.05603094,14215547.241517186,17.604743207277295,1461538.5655181927,11760378.154973004,17088099.92175643,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,132155539.29306544,102356447.56242976,29799091.730635688,29.1130577899946,2188007.8905678936,26085992.592613682,34394411.67794768,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,165474149.6327068,122756158.68809128,42717990.94461551,34.79906132706287,2265255.24168901,38069286.896892875,47679894.52958083,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,24686217.223910738,24593452.648200866,92764.57570987195,0.37719216181977266,250242.9617803945,-339511.64643630275,637103.7517737849,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aal,mean,123335.6774168985,122979.55996732827,356.1174495702289,0.2895745030026431,1255.7881594748294,-1844.9915919559517,3132.9541156543437,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9516466.390586872,18811083.540145434,-9294617.149558563,-49.410323066837556,375934.69150647183,-9942736.33313468,-8478225.118512502,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,42679402.43785296,47896738.67299797,-5217336.23514501,-10.892884107966017,780465.4142403429,-6629328.695477984,-3562309.0983446203,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,95822490.09380765,80748393.05603094,15074097.037776709,18.667983927948704,1637521.6492713438,11540040.37102434,17429161.751884013,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,132412443.79188208,102356447.56242976,30055996.229452327,29.364047839898344,2135279.0560402977,26214114.574450884,34301950.89848405,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,163887554.2956673,122756158.68809128,41131395.60757601,33.50658414791714,2386942.8705903343,36424181.52919225,45586887.38053268,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,24664669.01647805,24593452.648200866,71216.36827718467,0.28957450300250986,251132.51864310232,-368961.4222489797,626528.1703138158,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aal,mean,64788.734897414855,59302.962640062666,5485.77225735219,9.250418551005456,812.1485950119844,4022.2712415087954,7155.925435017966,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category
