period,payout_basis,case_name,case_prefix,occurrences,declared_years,payout_aal_2022_usd,target_aal_2022_usd,signed_basis_aal_2022_usd,expected_protection_shortfall_2022_usd,expected_excess_payout_2022_usd,event_mae_2022_usd,event_rmse_2022_usd,event_payout_target_correlation,false_negative_occurrences,false_positive_occurrences,false_negative_probability_per_occurrence,false_positive_probability_per_occurrence,false_negative_probability_given_target,false_positive_probability_given_payout,false_negative_annual_occurrence_rate,false_positive_annual_occurrence_rate,conditional_mean_shortfall_given_target_2022_usd,target_positive_occurrences,payout_positive_occurrences,false_negative_probability_per_year,false_positive_probability_per_year,collateral_depletion_aal_2022_usd
TRAINING,NOMINAL_EVENT,I0_PHASE1_INDEPENDENT,i0,5352,1000000,67635.294250691732,63471.35473896144,-4163.9395117302729,22710.041312314024,26873.980824044302,9264578.1271222569,15530885.243548669,0.6476303336402528,151,546,0.028213751868460389,0.10201793721973094,0.075765178123432017,0.228643216080402,0.00015100000000000001,0.00054600000000000004,11394902.816013059,1993,2388,0.00015100000000000001,0.00054600000000000004,0
TRAINING,NOMINAL_EVENT,C1_ALDEA22_SUBDUCTION,c1,5352,1000000,67635.294250691732,57675.063468437926,-9960.2307822537896,24211.228734401506,34171.45951665529,10908574.037940357,17830415.707016718,0.54941642352056841,141,924,0.026345291479820628,0.1726457399103139,0.087850467289719625,0.38693467336683418,0.00014100000000000001,0.00092400000000000002,15084877.716138009,1605,2388,0.00014100000000000001,0.00092400000000000002,0
TRAINING,NOMINAL_EVENT,C2_GODA_ATKINSON09,c2,5352,1000000,67635.294250691732,57547.594692792147,-10087.699557899579,24155.375343013649,34243.074900913227,10911519.103872735,17831759.604410812,0.54839076118230246,145,922,0.027092675635276533,0.17227204783258596,0.090006207324643081,0.38609715242881071,0.000145,0.00092199999999999997,14994025.662950745,1611,2388,0.000145,0.00092199999999999997,0
TRAINING,COLLATERALIZED,I0_PHASE1_INDEPENDENT,i0,5352,1000000,67635.294250691732,63471.35473896144,-4163.9395117302729,22710.041312314024,26873.980824044302,9264578.1271222569,15530885.243548669,0.6476303336402528,151,546,0.028213751868460389,0.10201793721973094,0.075765178123432017,0.228643216080402,0.00015100000000000001,0.00054600000000000004,11394902.816013059,1993,2388,0.00015100000000000001,0.00054600000000000004,0
TRAINING,COLLATERALIZED,C1_ALDEA22_SUBDUCTION,c1,5352,1000000,67635.294250691732,57675.063468437926,-9960.2307822537896,24211.228734401506,34171.45951665529,10908574.037940357,17830415.707016718,0.54941642352056841,141,924,0.026345291479820628,0.1726457399103139,0.087850467289719625,0.38693467336683418,0.00014100000000000001,0.00092400000000000002,15084877.716138009,1605,2388,0.00014100000000000001,0.00092400000000000002,0
TRAINING,COLLATERALIZED,C2_GODA_ATKINSON09,c2,5352,1000000,67635.294250691732,57547.594692792147,-10087.699557899579,24155.375343013649,34243.074900913227,10911519.103872735,17831759.604410812,0.54839076118230246,145,922,0.027092675635276533,0.17227204783258596,0.090006207324643081,0.38609715242881071,0.000145,0.00092199999999999997,14994025.662950745,1611,2388,0.000145,0.00092199999999999997,0
EVALUATION,NOMINAL_EVENT,I0_PHASE1_INDEPENDENT,i0,5278,1000000,67016.914417542546,63881.839915570657,-3135.0745019718865,23098.517245562882,26233.591747534767,9346742.8937282413,15674975.963963589,0.64380525109534192,142,527,0.026904130352406214,0.099848427434634332,0.070576540755467196,0.21985815602836881,0.00014200000000000001,0.00052700000000000002,11480376.364593878,2012,2397,0.00014200000000000001,0.00052700000000000002,15.459495828729533
EVALUATION,NOMINAL_EVENT,C1_ALDEA22_SUBDUCTION,c1,5278,1000000,67016.914417542546,59634.325193063982,-7382.5892244785546,25924.773974139105,33307.363198617662,11222458.729207419,18229854.701402739,0.53986820919482448,135,896,0.025577870405456612,0.16976127320954906,0.082518337408312964,0.3738005840634126,0.000135,0.00089599999999999999,15846438.859498231,1636,2397,0.000135,0.00089499999999999996,15.459495828729533
EVALUATION,NOMINAL_EVENT,C2_GODA_ATKINSON09,c2,5278,1000000,67016.914417542546,59660.693321941209,-7356.2210956013269,25904.057804835578,33260.278900436904,11209612.86572044,18228084.378252335,0.5399665094509225,134,902,0.025388404698749527,0.17089806744979158,0.082259054634745241,0.37630371297455151,0.000134,0.00090200000000000002,15901815.71813111,1629,2397,0.000134,0.000901,15.459495828729533
EVALUATION,COLLATERALIZED,I0_PHASE1_INDEPENDENT,i0,5278,1000000,67001.454921713812,63881.839915570657,-3119.6150061431576,23098.517245562882,26218.13225170604,9343813.8494257145,15673237.282465262,0.64385451445701147,142,527,0.026904130352406214,0.099848427434634332,0.070576540755467196,0.21985815602836881,0.00014200000000000001,0.00052700000000000002,11480376.364593878,2012,2397,0.00014200000000000001,0.00052700000000000002,15.459495828729533
EVALUATION,COLLATERALIZED,C1_ALDEA22_SUBDUCTION,c1,5278,1000000,67001.454921713812,59634.325193063982,-7367.1297286498257,25940.233469967836,33307.363198617662,11225387.773509946,18233493.559866678,0.53958946502038763,135,896,0.025577870405456612,0.16976127320954906,0.082518337408312964,0.3738005840634126,0.000135,0.00089599999999999999,15855888.429075694,1636,2397,0.000135,0.00089499999999999996,15.459495828729533
EVALUATION,COLLATERALIZED,C2_GODA_ATKINSON09,c2,5278,1000000,67001.454921713812,59660.693321941209,-7340.7615997725979,25919.517300664305,33260.278900436904,11212541.910022965,18231189.327745482,0.53971831428615169,134,902,0.025388404698749527,0.17089806744979158,0.082259054634745241,0.37630371297455151,0.000134,0.00090200000000000002,15911305.893593803,1629,2397,0.000134,0.000901,15.459495828729533
FULL_DIAGNOSTIC,NOMINAL_EVENT,I0_PHASE1_INDEPENDENT,i0,10630,2000000,67326.104334117132,63676.597327266056,-3649.50700685108,22904.279278938455,26553.786285789534,9305374.5182931311,15602595.393449426,0.64571214646409225,293,1073,0.027563499529633113,0.10094073377234243,0.073158551810237199,0.22424242424242424,0.00014650000000000001,0.00053649999999999998,11437842.336548541,4005,4785,0.00014650000000000001,0.00053649999999999998,7.7297479143647667
