period,payout_basis,case_name,metric,independent_value_2022_usd,correlated_value_2022_usd,absolute_change_2022_usd,percent_change
EVALUATION,COLLATERALIZED,C1_ALDEA22_SUBDUCTION,payout_aal_2022_usd,67001.454921713812,67001.454921713812,0,0
EVALUATION,COLLATERALIZED,C1_ALDEA22_SUBDUCTION,target_aal_2022_usd,63881.839915570657,59634.325193063982,-4247.5147225066758,-6.6490175112682959
EVALUATION,COLLATERALIZED,C1_ALDEA22_SUBDUCTION,expected_protection_shortfall_2022_usd,23098.517245562882,25940.233469967836,2841.7162244049541,12.302591522193197
EVALUATION,COLLATERALIZED,C1_ALDEA22_SUBDUCTION,expected_excess_payout_2022_usd,26218.13225170604,33307.363198617662,7089.2309469116226,27.039420195350949
EVALUATION,COLLATERALIZED,C1_ALDEA22_SUBDUCTION,event_rmse_2022_usd,15673237.282465262,18233493.559866678,2560256.2774014156,16.335210341425466
EVALUATION,COLLATERALIZED,C2_GODA_ATKINSON09,payout_aal_2022_usd,67001.454921713812,67001.454921713812,0,0
EVALUATION,COLLATERALIZED,C2_GODA_ATKINSON09,target_aal_2022_usd,63881.839915570657,59660.693321941209,-4221.146593629448,-6.6077411032749218
EVALUATION,COLLATERALIZED,C2_GODA_ATKINSON09,expected_protection_shortfall_2022_usd,23098.517245562882,25919.517300664305,2821.0000551014236,12.212905378778483
EVALUATION,COLLATERALIZED,C2_GODA_ATKINSON09,expected_excess_payout_2022_usd,26218.13225170604,33260.278900436904,7042.1466487308644,26.859833420333068
EVALUATION,COLLATERALIZED,C2_GODA_ATKINSON09,event_rmse_2022_usd,15673237.282465262,18231189.327745482,2557952.04528022,16.320508642729337
EVALUATION,NOMINAL_EVENT,C1_ALDEA22_SUBDUCTION,payout_aal_2022_usd,67016.914417542546,67016.914417542546,0,0
EVALUATION,NOMINAL_EVENT,C1_ALDEA22_SUBDUCTION,target_aal_2022_usd,63881.839915570657,59634.325193063982,-4247.5147225066758,-6.6490175112682959
EVALUATION,NOMINAL_EVENT,C1_ALDEA22_SUBDUCTION,expected_protection_shortfall_2022_usd,23098.517245562882,25924.773974139105,2826.2567285762234,12.235663001784825
EVALUATION,NOMINAL_EVENT,C1_ALDEA22_SUBDUCTION,expected_excess_payout_2022_usd,26233.591747534767,33307.363198617662,7073.7714510828955,26.964555670298694
EVALUATION,NOMINAL_EVENT,C1_ALDEA22_SUBDUCTION,event_rmse_2022_usd,15674975.963963589,18229854.701402739,2554878.73743915,16.299091898531515
EVALUATION,NOMINAL_EVENT,C2_GODA_ATKINSON09,payout_aal_2022_usd,67016.914417542546,67016.914417542546,0,0
EVALUATION,NOMINAL_EVENT,C2_GODA_ATKINSON09,target_aal_2022_usd,63881.839915570657,59660.693321941209,-4221.146593629448,-6.6077411032749218
EVALUATION,NOMINAL_EVENT,C2_GODA_ATKINSON09,expected_protection_shortfall_2022_usd,23098.517245562882,25904.057804835578,2805.5405592726966,12.145976858370112
EVALUATION,NOMINAL_EVENT,C2_GODA_ATKINSON09,expected_excess_payout_2022_usd,26233.591747534767,33260.278900436904,7026.6871529021373,26.785074726042613
EVALUATION,NOMINAL_EVENT,C2_GODA_ATKINSON09,event_rmse_2022_usd,15674975.963963589,18228084.378252335,2553108.4142887462,16.287797953619098
