period,case_prefix,loss_basis,metric,parameter,value_2022_usd,tail_count,headline_supported,declared_years
TRAINING,i0,gross,aep_pml,100,0,10000,True,1000000
TRAINING,i0,gross,aep_pml,250,18326.580791534576,4000,True,1000000
TRAINING,i0,gross,aep_pml,500,18499160.116173349,2000,True,1000000
TRAINING,i0,gross,aep_pml,1000,47761359.434211247,1000,True,1000000
TRAINING,i0,gross,aep_pml,2500,80744853.132938251,400,True,1000000
TRAINING,i0,gross,aep_pml,5000,103286186.69933666,200,True,1000000
TRAINING,i0,gross,aep_pml,10000,126676731.06295358,100,True,1000000
TRAINING,i0,gross,aep_pml,50000,170562529.8753252,20,True,1000000
TRAINING,i0,gross,aep_pml,100000,187739907.47804168,10,False,1000000
TRAINING,i0,gross,aep_pml,1000000,244325807.3326858,1,False,1000000
TRAINING,i0,gross,var,0.98999999999999999,0,10001,True,1000000
TRAINING,i0,gross,tvar,0.98999999999999999,12335806.840260521,10001,True,1000000
TRAINING,i0,gross,tvar_minus_mean,0.98999999999999999,12212436.436051074,10001,True,1000000
TRAINING,i0,gross,var,0.995,0,5001,True,1000000
TRAINING,i0,gross,tvar,0.995,24669147.012486596,5001,True,1000000
TRAINING,i0,gross,tvar_minus_mean,0.995,24545776.608277149,5001,True,1000000
TRAINING,i0,benchmark_retained,aep_pml,100,0,10000,True,1000000
TRAINING,i0,benchmark_retained,aep_pml,250,18326.580791534576,4000,True,1000000
TRAINING,i0,benchmark_retained,aep_pml,500,18499160.116173349,2000,True,1000000
TRAINING,i0,benchmark_retained,aep_pml,1000,18811083.540145438,1000,True,1000000
TRAINING,i0,benchmark_retained,aep_pml,2500,19106518.964732602,400,True,1000000
TRAINING,i0,benchmark_retained,aep_pml,5000,41417827.670428514,200,True,1000000
TRAINING,i0,benchmark_retained,aep_pml,10000,64373141.499243796,100,True,1000000
TRAINING,i0,benchmark_retained,aep_pml,50000,108724546.56040706,20,True,1000000
TRAINING,i0,benchmark_retained,aep_pml,100000,125901924.16312353,10,False,1000000
TRAINING,i0,benchmark_retained,aep_pml,1000000,182487824.01776767,1,False,1000000
TRAINING,i0,benchmark_retained,var,0.98999999999999999,0,10001,True,1000000
TRAINING,i0,benchmark_retained,tvar,0.98999999999999999,5989306.0164467562,10001,True,1000000
TRAINING,i0,benchmark_retained,tvar_minus_mean,0.98999999999999999,5929406.9669762719,10001,True,1000000
TRAINING,i0,benchmark_retained,var,0.995,0,5001,True,1000000
TRAINING,i0,benchmark_retained,tvar,0.995,11977414.411214558,5001,True,1000000
TRAINING,i0,benchmark_retained,tvar_minus_mean,0.995,11917515.361744074,5001,True,1000000
TRAINING,i0,cash_net,aep_pml,100,0,10000,True,1000000
TRAINING,i0,cash_net,aep_pml,250,0,4000,True,1000000
TRAINING,i0,cash_net,aep_pml,500,3262320.7176103573,2000,True,1000000
TRAINING,i0,cash_net,aep_pml,1000,22706095.661434431,1000,True,1000000
TRAINING,i0,cash_net,aep_pml,2500,52581521.270656057,400,True,1000000
TRAINING,i0,cash_net,aep_pml,5000,72014724.966775775,200,True,1000000
TRAINING,i0,cash_net,aep_pml,10000,95978266.691906154,100,True,1000000
TRAINING,i0,cash_net,aep_pml,50000,139643538.21786612,20,True,1000000
