source_type,candidate_id,attachment_index,distance_decay,tier_step,normalized_training_mse,training_occurrences,selected
INTERFACE,1,5,0.5,0.25,0.63613689578498589,3364,False
INTERFACE,2,5,0.5,0.5,0.63613689578498589,3364,False
INTERFACE,3,5,0.5,0.75,0.63613689578498589,3364,False
INTERFACE,4,5,0.5,1,0.57062896692289866,3364,False
INTERFACE,5,5,1,0.25,0.63613689578498589,3364,False
INTERFACE,6,5,1,0.5,0.63613689578498589,3364,False
INTERFACE,7,5,1,0.75,0.62482224061257208,3364,False
INTERFACE,8,5,1,1,0.51921164225556959,3364,False
INTERFACE,9,5,1.5,0.25,0.63613689578498589,3364,False
INTERFACE,10,5,1.5,0.5,0.63587678876952813,3364,False
INTERFACE,11,5,1.5,0.75,0.57859750815121647,3364,False
INTERFACE,12,5,1.5,1,0.4789533926533559,3364,False
INTERFACE,13,5,2,0.25,0.63613689578498589,3364,False
INTERFACE,14,5,2,0.5,0.62164521920948057,3364,False
INTERFACE,15,5,2,0.75,0.54128859636725013,3364,False
INTERFACE,16,5,2,1,0.43547608429303353,3364,False
INTERFACE,17,5.25,0.5,0.25,0.63613689578498589,3364,False
INTERFACE,18,5.25,0.5,0.5,0.63613689578498589,3364,False
INTERFACE,19,5.25,0.5,0.75,0.63587678876952813,3364,False
INTERFACE,20,5.25,0.5,1,0.5204110464818521,3364,False
INTERFACE,21,5.25,1,0.25,0.63613689578498589,3364,False
INTERFACE,22,5.25,1,0.5,0.63613689578498589,3364,False
INTERFACE,23,5.25,1,0.75,0.59464982681946854,3364,False
INTERFACE,24,5.25,1,1,0.48005234060953195,3364,False
INTERFACE,25,5.25,1.5,0.25,0.63613689578498589,3364,False
INTERFACE,26,5.25,1.5,0.5,0.62872384584443897,3364,False
INTERFACE,27,5.25,1.5,0.75,0.55274534673149867,3364,False
INTERFACE,28,5.25,1.5,1,0.42577131122656464,3364,False
INTERFACE,29,5.25,2,0.25,0.63587678876952813,3364,False
INTERFACE,30,5.25,2,0.5,0.59048811457214401,3364,False
INTERFACE,31,5.25,2,0.75,0.49614109351355179,3364,False
INTERFACE,32,5.25,2,1,0.38698713798997747,3364,False
INTERFACE,33,5.5,0.5,0.25,0.63613689578498589,3364,False
INTERFACE,34,5.5,0.5,0.5,0.63613689578498589,3364,False
INTERFACE,35,5.5,0.5,0.75,0.611426729316496,3364,False
INTERFACE,36,5.5,0.5,1,0.47061011855351487,3364,False
INTERFACE,37,5.5,1,0.25,0.63613689578498589,3364,False
INTERFACE,38,5.5,1,0.5,0.63587678876952813,3364,False
INTERFACE,39,5.5,1,0.75,0.55773381084572426,3364,False
INTERFACE,40,5.5,1,1,0.39602820073244521,3364,False
INTERFACE,41,5.5,1.5,0.25,0.63613689578498589,3364,False
INTERFACE,42,5.5,1.5,0.5,0.61215131314527127,3364,False
INTERFACE,43,5.5,1.5,0.75,0.50595469930382875,3364,False
INTERFACE,44,5.5,1.5,1,0.3669217878704088,3364,False
INTERFACE,45,5.5,2,0.25,0.63048885773504537,3364,False
INTERFACE,46,5.5,2,0.5,0.55843921445323796,3364,False
INTERFACE,47,5.5,2,0.75,0.44947899618367426,3364,False
INTERFACE,48,5.5,2,1,0.29626927892369442,3364,False
INTERFACE,49,5.75,0.5,0.25,0.63613689578498589,3364,False
INTERFACE,50,5.75,0.5,0.5,0.63613689578498589,3364,False
INTERFACE,51,5.75,0.5,0.75,0.57062896692289866,3364,False
INTERFACE,52,5.75,0.5,1,0.38470294934827653,3364,False
INTERFACE,53,5.75,1,0.25,0.63613689578498589,3364,False
INTERFACE,54,5.75,1,0.5,0.62482224061257208,3364,False
INTERFACE,55,5.75,1,0.75,0.51131553642917249,3364,False
INTERFACE,56,5.75,1,1,0.32506993323565297,3364,False
INTERFACE,57,5.75,1.5,0.25,0.63587678876952813,3364,False
INTERFACE,58,5.75,1.5,0.5,0.57348826320472424,3364,False
INTERFACE,59,5.75,1.5,0.75,0.45487491465097779,3364,False
INTERFACE,60,5.75,1.5,1,0.28749093458936137,3364,False
INTERFACE,61,5.75,2,0.25,0.61781793026774456,3364,False
INTERFACE,62,5.75,2,0.5,0.51934671170613245,3364,False
INTERFACE,63,5.75,2,0.75,0.41717356371001829,3364,False
