period,case_series,baseline_series,metric_name,metric_kind,case_value_2022_usd,baseline_value_2022_usd,absolute_change_2022_usd,percent_change,bootstrap_standard_error_2022_usd,bootstrap_ci_lower_2022_usd,bootstrap_ci_upper_2022_usd,bootstrap_replicates,bootstrap_seed,bootstrap_method,scope
EVALUATION,c1_shortfall,i0_shortfall,annual_mean,mean,25940.23346996788,23098.517245562911,2841.7162244049687,12.302591522193239,663.46149231773506,1555.9270946372603,4205.5688007308645,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
EVALUATION,c2_shortfall,i0_shortfall,annual_mean,mean,25919.51730066436,23098.517245562911,2821.0000551014491,12.212905378778572,670.98999280996134,1496.6536329243493,4197.2384375519887,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
EVALUATION,c1_excess,i0_excess,annual_mean,mean,33307.36319861775,26218.132251706076,7089.2309469116735,27.039420195351106,562.55534617468857,6015.7889559218538,8162.0142622239391,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
EVALUATION,c2_excess,i0_excess,annual_mean,mean,33260.278900436992,26218.132251706076,7042.1466487309153,26.859833420333246,558.7640815587489,6004.1958845028776,8146.0106200937871,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
EVALUATION,c1_unfunded,i0_unfunded,aal,mean,76060.165928276794,65067.198044525896,10992.967883750898,16.894792175050078,1641.549478853977,7465.5878626415079,13704.545547604876,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
EVALUATION,c1_unfunded,i0_unfunded,aep_tvar_99_5,tvar,15208991.387377895,13010837.441416899,2198153.9459609967,16.894792175050142,328244.24692141195,1492819.0087265545,2740361.0373135088,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
EVALUATION,c1_unfunded,i0_unfunded,aep_pml_2500yr,pml,67931687.045710355,51367320.025272384,16564367.020437971,32.246897467667004,2196561.2383208005,11493227.687711574,20131930.502828702,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
EVALUATION,c2_unfunded,i0_unfunded,aal,mean,76049.85920304562,65067.198044525896,10982.661158519724,16.878952050469763,1640.9152249095839,7491.9118981826978,13803.011883504012,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
EVALUATION,c2_unfunded,i0_unfunded,aep_tvar_99_5,tvar,15206930.454518232,13010837.441416899,2196093.0131013338,16.878952050469831,328117.42149761732,1498082.7630839411,2760050.3666274878,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
EVALUATION,c2_unfunded,i0_unfunded,aep_pml_2500yr,pml,68863828.858474016,51367320.025272384,17496508.833201632,34.06155669517792,2328288.6033265037,11960922.011333853,21208199.826784607,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
EVALUATION,i0_unfunded,i0_gross,aal,mean,65067.198044525896,122588.71572521144,-57521.517680685545,-46.922359321899435,1416.2941958035128,-60265.216699832752,-54605.075793772507,300,122026,paired multinomial resampling of catalog years with one collapsed all-zero category,conditional on frozen trigger; paired evaluation catalog years; no recalibration
