case_name,structure,design_id,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
I0_PHASE1_INDEPENDENT,STANDALONE_ANNUAL_AGGREGATE,AGG_01,ceded_aal_2022_usd,89915.41572053128,89915.41572053128,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_01,ceded_aal_2022_usd,119082.31701159912,119082.31701159912,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_ANNUAL_AGGREGATE,AGG_02,ceded_aal_2022_usd,111474.26947815149,111474.26947815149,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_02,ceded_aal_2022_usd,122034.9215014497,122034.9215014497,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_ANNUAL_AGGREGATE,AGG_03,ceded_aal_2022_usd,117750.95861012411,117750.95861012411,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_03,ceded_aal_2022_usd,122637.74183185564,122637.74183185564,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_ANNUAL_AGGREGATE,AGG_04,ceded_aal_2022_usd,120668.97905157076,120668.97905157076,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_04,ceded_aal_2022_usd,122865.84477434076,122865.84477434076,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STANDALONE_ANNUAL_AGGREGATE,AGG_05,ceded_aal_2022_usd,89875.012752799434,89875.012752799434,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
I0_PHASE1_INDEPENDENT,STACKED_AFTER_FROZEN_OCCURRENCE,AGG_05,ceded_aal_2022_usd,119041.91404386731,119041.91404386731,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_aggregate_design_grid.csv,FULL_CATALOG_2000000_YEARS,2022_USD
