case_name,metric,value,baseline_value,absolute_change,percent_change,percentage_status,period,unit,source_path
I0_PHASE1_INDEPENDENT,payout_aal_2022_usd,67001.454921713812,67001.454921713812,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
C1_ALDEA22_SUBDUCTION,payout_aal_2022_usd,67001.454921713812,67001.454921713812,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
C2_GODA_ATKINSON09,payout_aal_2022_usd,67001.454921713812,67001.454921713812,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
I0_PHASE1_INDEPENDENT,target_aal_2022_usd,63881.839915570657,63881.839915570657,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
C1_ALDEA22_SUBDUCTION,target_aal_2022_usd,59634.325193063982,63881.839915570657,-4247.5147225066758,-6.6490175112683003,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
C2_GODA_ATKINSON09,target_aal_2022_usd,59660.693321941209,63881.839915570657,-4221.146593629448,-6.6077411032749218,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
I0_PHASE1_INDEPENDENT,expected_protection_shortfall_2022_usd,23098.517245562882,23098.517245562882,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
C1_ALDEA22_SUBDUCTION,expected_protection_shortfall_2022_usd,25940.233469967836,23098.517245562882,2841.7162244049541,12.302591522193204,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
C2_GODA_ATKINSON09,expected_protection_shortfall_2022_usd,25919.517300664305,23098.517245562882,2821.0000551014236,12.212905378778478,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
I0_PHASE1_INDEPENDENT,expected_excess_payout_2022_usd,26218.13225170604,26218.13225170604,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
C1_ALDEA22_SUBDUCTION,expected_excess_payout_2022_usd,33307.363198617662,26218.13225170604,7089.2309469116226,27.039420195350946,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
C2_GODA_ATKINSON09,expected_excess_payout_2022_usd,33260.278900436904,26218.13225170604,7042.1466487308644,26.859833420333075,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
I0_PHASE1_INDEPENDENT,event_rmse_2022_usd,15673237.282465262,15673237.282465262,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
C1_ALDEA22_SUBDUCTION,event_rmse_2022_usd,18233493.559866678,15673237.282465262,2560256.2774014156,16.335210341425455,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
C2_GODA_ATKINSON09,event_rmse_2022_usd,18231189.327745482,15673237.282465262,2557952.04528022,16.320508642729337,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_basis_risk_summary.csv
