case_name,risk_measure,confidence,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit
I0_PHASE1_INDEPENDENT,aal,,diversification_benefit,-2.2204460492503131e-16,-2.2204460492503131e-16,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
I0_PHASE1_INDEPENDENT,var,0.98999999999999999,diversification_benefit,,,,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
I0_PHASE1_INDEPENDENT,tvar,0.98999999999999999,diversification_benefit,-2.2204460492503131e-16,-2.2204460492503131e-16,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
I0_PHASE1_INDEPENDENT,var,0.995,diversification_benefit,,,,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
I0_PHASE1_INDEPENDENT,tvar,0.995,diversification_benefit,-2.2204460492503131e-16,-2.2204460492503131e-16,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
C1_ALDEA22_SUBDUCTION,aal,,diversification_benefit,-2.2204460492503131e-16,-2.2204460492503131e-16,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
C1_ALDEA22_SUBDUCTION,var,0.98999999999999999,diversification_benefit,,,,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
C1_ALDEA22_SUBDUCTION,tvar,0.98999999999999999,diversification_benefit,0,-2.2204460492503131e-16,2.2204460492503131e-16,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
C1_ALDEA22_SUBDUCTION,var,0.995,diversification_benefit,,,,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
C1_ALDEA22_SUBDUCTION,tvar,0.995,diversification_benefit,-2.2204460492503131e-16,-2.2204460492503131e-16,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
C2_GODA_ATKINSON09,aal,,diversification_benefit,-2.2204460492503131e-16,-2.2204460492503131e-16,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
C2_GODA_ATKINSON09,var,0.98999999999999999,diversification_benefit,,,,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
C2_GODA_ATKINSON09,tvar,0.98999999999999999,diversification_benefit,-2.2204460492503131e-16,-2.2204460492503131e-16,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
C2_GODA_ATKINSON09,var,0.995,diversification_benefit,,,,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
C2_GODA_ATKINSON09,tvar,0.995,diversification_benefit,0,-2.2204460492503131e-16,2.2204460492503131e-16,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_diversification_summary.csv,FULL_CATALOG_2000000_YEARS,ratio
