case_name,metric,value,baseline_value,absolute_change,percent_change,percentage_status,source_path,period,unit,program,target_kind,target_parameter,risk_measure,confidence
I0_PHASE1_INDEPENDENT,ground_up_aal_2022_usd,195922.45003028997,195922.45003028997,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_case_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,,,,
C1_ALDEA22_SUBDUCTION,ground_up_aal_2022_usd,196624.70476008757,195922.45003028997,702.25472979759797,0.35843504901507106,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_case_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,,,,
C2_GODA_ATKINSON09,ground_up_aal_2022_usd,196518.41734283743,195922.45003028997,595.96731254746555,0.30418531028747747,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_case_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,,,,
I0_PHASE1_INDEPENDENT,gross_insured_aal_2022_usd,122979.55996732845,122979.55996732845,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_case_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,,,,
C1_ALDEA22_SUBDUCTION,gross_insured_aal_2022_usd,123443.42922816568,122979.55996732845,463.86926083723665,0.37719216181979442,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_case_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,,,,
C2_GODA_ATKINSON09,gross_insured_aal_2022_usd,123335.67741689847,122979.55996732845,356.1174495700252,0.28957450300247756,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_case_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,,,,
I0_PHASE1_INDEPENDENT,uninsured_aal_2022_usd,72942.890062961582,72942.890062961582,0,0,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_case_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,,,,
C1_ALDEA22_SUBDUCTION,uninsured_aal_2022_usd,73181.275531921972,72942.890062961582,238.38546896039043,0.32681111038323951,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_case_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,,,,
C2_GODA_ATKINSON09,uninsured_aal_2022_usd,73182.739925938964,72942.890062961582,239.84986297738214,0.32881870017811565,defined,data/metadata/phase_2/notebook_10_correlated_damage_loss/notebook_10_case_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,,,,,
I0_PHASE1_INDEPENDENT,ceded_aal_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
I0_PHASE1_INDEPENDENT,ceded_aal_2022_usd,63676.597327266056,63676.597327266056,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
I0_PHASE1_INDEPENDENT,ceded_aal_2022_usd,63662.553906352587,63662.553906352587,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
I0_PHASE1_INDEPENDENT,ceded_aal_2022_usd,74258.773489841027,74258.773489841027,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
C1_ALDEA22_SUBDUCTION,ceded_aal_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
C1_ALDEA22_SUBDUCTION,ceded_aal_2022_usd,58654.694330750965,63676.597327266056,-5021.9029965150912,-7.8865756138083301,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
C1_ALDEA22_SUBDUCTION,ceded_aal_2022_usd,58585.179988519587,63662.553906352587,-5077.3739178329997,-7.9754480558568233,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
C1_ALDEA22_SUBDUCTION,ceded_aal_2022_usd,77886.475788270021,74258.773489841027,3627.7022984289943,4.8852170968394493,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
C2_GODA_ATKINSON09,ceded_aal_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
C2_GODA_ATKINSON09,ceded_aal_2022_usd,58604.144007366674,63676.597327266056,-5072.4533198993813,-7.9659616449501742,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
C2_GODA_ATKINSON09,ceded_aal_2022_usd,58537.59358207701,63662.553906352587,-5124.9603242755766,-8.0501959312131532,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
C2_GODA_ATKINSON09,ceded_aal_2022_usd,77874.135263737946,74258.773489841027,3615.3617738969187,4.8685988254189496,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
I0_PHASE1_INDEPENDENT,retained_aal_2022_usd,122979.55996732846,122979.55996732846,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,NO_REINSURANCE,,,,
I0_PHASE1_INDEPENDENT,retained_aal_2022_usd,59302.962640062397,59302.962640062397,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,FROZEN_OCCURRENCE_XOL,,,,
I0_PHASE1_INDEPENDENT,retained_aal_2022_usd,59317.006060975858,59317.006060975858,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STANDALONE_AGGREGATE,,,,
I0_PHASE1_INDEPENDENT,retained_aal_2022_usd,48720.786477487418,48720.786477487418,0,0,defined,data/metadata/phase_2/notebook_11_reinsurance_capital/notebook_11_program_summary.csv,FULL_CATALOG_2000000_YEARS,2022_USD,STACKED_OCCURRENCE_PLUS_AGGREGATE,,,,
