program,case_series,baseline_series,metric_name,metric_kind,case_value_2022_usd,baseline_value_2022_usd,absolute_change_2022_usd,percent_change,bootstrap_standard_error_2022_usd,bootstrap_ci_lower_2022_usd,bootstrap_ci_upper_2022_usd,bootstrap_replicates,bootstrap_seed,bootstrap_method,source_notebook,uncertainty_scope,interval_excludes_zero,period,scope
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aal,mean,123443.42922816574,122979.55996732827,463.86926083746948,0.37719216181999471,1251.3399303828578,-1697.7279880047324,3185.8373107447774,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9574709.3844646048,18811083.540145434,-9236374.1556808297,-49.100702444753587,383670.5510660744,-9907504.6066350471,-8376978.7028112924,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,42650487.025405601,47896738.672997966,-5246251.6475923657,-10.953254423875769,828918.60695394885,-6640085.7428874411,-3279978.5639280798,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,94963940.29754813,80748393.056030944,14215547.241517186,17.604743207277295,1461538.5655181927,11760378.154973004,17088099.921756431,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,132155539.29306544,102356447.56242976,29799091.730635688,29.113057789994599,2188007.8905678936,26085992.592613682,34394411.677947678,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,165474149.63270679,122756158.68809128,42717990.944615513,34.799061327062873,2265255.2416890101,38069286.896892875,47679894.529580832,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
NO_REINSURANCE,NO_REINSURANCE:C1_ALDEA22_SUBDUCTION,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,24686217.223910738,24593452.648200866,92764.575709871948,0.37719216181977266,250242.96178039449,-339511.64643630275,637103.75177378487,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aal,mean,123335.6774168985,122979.55996732827,356.11744957022893,0.28957450300264309,1255.7881594748294,-1844.9915919559517,3132.9541156543437,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9516466.3905868717,18811083.540145434,-9294617.1495585628,-49.410323066837556,375934.69150647183,-9942736.3331346791,-8478225.1185125019,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,42679402.437852956,47896738.672997966,-5217336.2351450101,-10.892884107966017,780465.41424034291,-6629328.6954779839,-3562309.0983446203,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,95822490.093807653,80748393.056030944,15074097.037776709,18.667983927948704,1637521.6492713438,11540040.37102434,17429161.751884013,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,132412443.79188208,102356447.56242976,30055996.229452327,29.364047839898344,2135279.0560402977,26214114.574450884,34301950.898484051,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,163887554.29566729,122756158.68809128,41131395.607576013,33.506584147917138,2386942.8705903343,36424181.529192246,45586887.380532682,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
NO_REINSURANCE,NO_REINSURANCE:C2_GODA_ATKINSON09,NO_REINSURANCE:I0_PHASE1_INDEPENDENT,aep_tvar_99_5,tvar,24664669.016478051,24593452.648200866,71216.368277184665,0.28957450300250986,251132.51864310232,-368961.42224897968,626528.17031381582,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aal,mean,64788.734897414855,59302.962640062666,5485.7722573521896,9.2504185510054562,812.14859501198441,4022.2712415087954,7155.9254350179663,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_500yr,pml,9574709.3844646048,18811083.540145427,-9236374.1556808222,-49.100702444753573,380861.48880656395,-9434954.5673862882,-7996411.3616219405,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_1000yr,pml,18811083.540145438,18811083.540145438,0,0,0,0,0,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,False,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_2500yr,pml,33274085.978361294,19364973.807202592,13909112.171158701,71.826134698851803,1525617.0573196206,10680779.823685057,16800915.713236395,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_5000yr,pml,70314061.297555134,40459312.037227139,29854749.260327995,73.789562296210704,2185655.6939184,26053314.453465927,34369091.545397587,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
FROZEN_OCCURRENCE_XOL,FROZEN_OCCURRENCE_XOL:C1_ALDEA22_SUBDUCTION,FROZEN_OCCURRENCE_XOL:I0_PHASE1_INDEPENDENT,aep_pml_10000yr,pml,103050677.94843383,60476994.030481473,42573683.917952359,70.396494734004904,2332574.948203526,37564415.217645653,47283932.11792551,300,112026,paired multinomial resampling of catalog years with one collapsed all-zero category,11,full_catalog_paired_sampling,True,,
