case_name,loss_basis,risk_metric,parameter,tail_count,headline_supported,metric,value,baseline_value,absolute_change,percent_change,percentage_status,period,unit,source_path
I0_PHASE1_INDEPENDENT,gross,aep_pml,100,10000,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,aep_pml,250,4000,True,value_2022_usd,6199.5039999999899,6199.5039999999899,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,aep_pml,500,2000,True,value_2022_usd,18924416.707944721,18924416.707944721,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,aep_pml,1000,1000,True,value_2022_usd,48040112.81779445,48040112.81779445,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,aep_pml,2500,400,True,value_2022_usd,81050074.85862115,81050074.85862115,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,aep_pml,5000,200,True,value_2022_usd,101559923.32944781,101559923.32944781,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,aep_pml,10000,100,True,value_2022_usd,118982667.49620402,118982667.49620402,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,aep_pml,50000,20,True,value_2022_usd,150734244.29391614,150734244.29391614,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,aep_pml,100000,10,False,value_2022_usd,165208659.70689747,165208659.70689747,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,aep_pml,1000000,1,False,value_2022_usd,205131492.83591884,205131492.83591884,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,var,0.98999999999999999,10001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,tvar,0.98999999999999999,10001,True,value_2022_usd,12257645.807940349,12257645.807940349,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,tvar_minus_mean,0.98999999999999999,10001,True,value_2022_usd,12135057.092215138,12135057.092215138,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,var,0.995,5001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,tvar,0.995,5001,True,value_2022_usd,24512840.576926898,24512840.576926898,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,gross,tvar_minus_mean,0.995,5001,True,value_2022_usd,24390251.861201685,24390251.861201685,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,aep_pml,100,10000,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,aep_pml,250,4000,True,value_2022_usd,6199.5039999999899,6199.5039999999899,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,aep_pml,500,2000,True,value_2022_usd,18811083.540145434,18811083.540145434,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,aep_pml,1000,1000,True,value_2022_usd,18811083.540145438,18811083.540145438,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,aep_pml,2500,400,True,value_2022_usd,19470835.814387739,19470835.814387739,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,aep_pml,5000,200,True,value_2022_usd,39552093.477779612,39552093.477779612,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,aep_pml,10000,100,True,value_2022_usd,57143985.518124998,57143985.518124998,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,aep_pml,50000,20,True,value_2022_usd,88896260.97899799,88896260.97899799,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,aep_pml,100000,10,False,value_2022_usd,103370676.39197932,103370676.39197932,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,aep_pml,1000000,1,False,value_2022_usd,143293509.52100068,143293509.52100068,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,var,0.98999999999999999,10001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,tvar,0.98999999999999999,10001,True,value_2022_usd,5870100.5709069874,5870100.5709069874,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,tvar_minus_mean,0.98999999999999999,10001,True,value_2022_usd,5811393.6950973468,5811393.6950973468,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,var,0.995,5001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,tvar,0.995,5001,True,value_2022_usd,11739027.356456865,11739027.356456865,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,benchmark_retained,tvar_minus_mean,0.995,5001,True,value_2022_usd,11680320.480647223,11680320.480647223,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,100,10000,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,250,4000,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,500,2000,True,value_2022_usd,3761600.7942655161,3761600.7942655161,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,1000,1000,True,value_2022_usd,22901462.530567288,22901462.530567288,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,2500,400,True,value_2022_usd,51367320.025272384,51367320.025272384,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,5000,200,True,value_2022_usd,71073935.102898747,71073935.102898747,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,10000,100,True,value_2022_usd,88590861.177157268,88590861.177157268,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,50000,20,True,value_2022_usd,123656063.31561601,123656063.31561601,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,100000,10,False,value_2022_usd,132690180.35398455,132690180.35398455,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,aep_pml,1000000,1,False,value_2022_usd,174212501.17845976,174212501.17845976,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,var,0.98999999999999999,10001,True,value_2022_usd,0,0,0,,undefined_zero_or_missing_baseline,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,tvar,0.98999999999999999,10001,True,value_2022_usd,6506069.1975328373,6506069.1975328373,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
I0_PHASE1_INDEPENDENT,cash_net,tvar_minus_mean,0.98999999999999999,10001,True,value_2022_usd,6450481.9367293399,6450481.9367293399,0,0,defined,EVALUATION_YEARS_1000001_TO_2000000,2022_USD,data/metadata/phase_2/notebook_12_parametric_basis_risk/notebook_12_tail_risk_table.csv
