case_name,imt,site_i,site_j,distance_km,target_correlation,empirical_correlation,absolute_error
I0_PHASE1_INDEPENDENT,PGA,24,65,0.0,0.0,-0.03769887155298449,0.03769887155298449
I0_PHASE1_INDEPENDENT,SA0P4,24,65,0.0,0.0,-0.003665969796997906,0.003665969796997906
I0_PHASE1_INDEPENDENT,PGA,67,198,0.20736795464793495,0.0,-0.02108947494843672,0.02108947494843672
I0_PHASE1_INDEPENDENT,SA0P4,67,198,0.20736795464793495,0.0,0.006651112231316778,0.006651112231316778
I0_PHASE1_INDEPENDENT,PGA,219,303,0.7116168883685037,0.0,0.008013259468628098,0.008013259468628098
I0_PHASE1_INDEPENDENT,SA0P4,219,303,0.7116168883685037,0.0,0.0018317077147208727,0.0018317077147208727
I0_PHASE1_INDEPENDENT,PGA,92,375,1.241546911367865,0.0,-0.007649664632937435,0.007649664632937435
I0_PHASE1_INDEPENDENT,SA0P4,92,375,1.241546911367865,0.0,-0.014871770752380805,0.014871770752380805
I0_PHASE1_INDEPENDENT,PGA,35,98,1.9186859023464586,0.0,0.016735715162181145,0.016735715162181145
I0_PHASE1_INDEPENDENT,SA0P4,35,98,1.9186859023464586,0.0,0.018523172171867483,0.018523172171867483
I0_PHASE1_INDEPENDENT,PGA,226,393,3.177775145099253,0.0,-0.025314389281943968,0.025314389281943968
I0_PHASE1_INDEPENDENT,SA0P4,226,393,3.177775145099253,0.0,-0.014391524717866087,0.014391524717866087
I0_PHASE1_INDEPENDENT,PGA,27,394,6.424394048363715,0.0,0.001245732041022077,0.001245732041022077
I0_PHASE1_INDEPENDENT,SA0P4,27,394,6.424394048363715,0.0,0.0019060202190080502,0.0019060202190080502
C1_ALDEA22_SUBDUCTION,PGA,24,65,0.0,1.0,0.9999999999999999,1.1102230246251565e-16
C1_ALDEA22_SUBDUCTION,SA0P4,24,65,0.0,1.0,0.9999999999999999,1.1102230246251565e-16
C1_ALDEA22_SUBDUCTION,PGA,67,198,0.20736795464793495,0.9213363205347975,0.9217615704174671,0.000425249882669565
C1_ALDEA22_SUBDUCTION,SA0P4,67,198,0.20736795464793495,0.8874055954893497,0.8884879040544073,0.0010823085650575326
C1_ALDEA22_SUBDUCTION,PGA,219,303,0.7116168883685037,0.844013698680587,0.8390791573990671,0.004934541281519822
C1_ALDEA22_SUBDUCTION,SA0P4,219,303,0.7116168883685037,0.7809414465785018,0.7727820824400043,0.008159364138497494
C1_ALDEA22_SUBDUCTION,PGA,92,375,1.241546911367865,0.7901698925315723,0.7826308287178433,0.007539063813729041
C1_ALDEA22_SUBDUCTION,SA0P4,92,375,1.241546911367865,0.7093780041359355,0.7055300449699617,0.003847959165973802
C1_ALDEA22_SUBDUCTION,PGA,35,98,1.9186859023464586,0.7375172998942208,0.7423198298414772,0.004802529947256384
C1_ALDEA22_SUBDUCTION,SA0P4,35,98,1.9186859023464586,0.6415248969731276,0.6463012242205903,0.004776327247462686
C1_ALDEA22_SUBDUCTION,PGA,226,393,3.177775145099253,0.6636283590384431,0.6540105896798803,0.009617769358562733
C1_ALDEA22_SUBDUCTION,SA0P4,226,393,3.177775145099253,0.5500076795382977,0.5384497702853684,0.01155790925292921
C1_ALDEA22_SUBDUCTION,PGA,27,394,6.424394048363715,0.5373333648693212,0.5393325556116327,0.001999190742311585
C1_ALDEA22_SUBDUCTION,SA0P4,27,394,6.424394048363715,0.40429539885863247,0.41839541213125336,0.014100013272620893
C2_GODA_ATKINSON09,PGA,24,65,0.0,1.0,1.0,0.0
C2_GODA_ATKINSON09,SA0P4,24,65,0.0,1.0,1.0,0.0
C2_GODA_ATKINSON09,PGA,67,198,0.20736795464793495,0.8518590551794827,0.8528038617259295,0.000944806546446797
C2_GODA_ATKINSON09,SA0P4,67,198,0.20736795464793495,0.8518590551794827,0.8532281890233965,0.0013691338439137946
C2_GODA_ATKINSON09,PGA,219,303,0.7116168883685037,0.7694219212733759,0.7628527472400568,0.006569174033319136
C2_GODA_ATKINSON09,SA0P4,219,303,0.7116168883685037,0.7694219212733759,0.7640761762323368,0.005345745041039129
C2_GODA_ATKINSON09,PGA,92,375,1.241546911367865,0.7201059294978673,0.7102468927582887,0.009859036739578664
C2_GODA_ATKINSON09,SA0P4,92,375,1.241546911367865,0.7201059294978673,0.7151964780775053,0.004909451420362032
C2_GODA_ATKINSON09,PGA,35,98,1.9186859023464586,0.6753698823415932,0.682559100734842,0.00718921839324882
C2_GODA_ATKINSON09,SA0P4,35,98,1.9186859023464586,0.6753698823415932,0.6815571338504822,0.006187251508888991
C2_GODA_ATKINSON09,PGA,226,393,3.177775145099253,0.6161601929598417,0.6018675147860113,0.014292678173830398
C2_GODA_ATKINSON09,SA0P4,226,393,3.177775145099253,0.6161601929598417,0.6001375400667608,0.016022652893080913
C2_GODA_ATKINSON09,PGA,27,394,6.424394048363715,0.5196150966683384,0.5217893930084535,0.0021742963401151227
C2_GODA_ATKINSON09,SA0P4,27,394,6.424394048363715,0.5196150966683384,0.5307204205369438,0.01110532386860541
