chunk_number,chunk_id,occurrences,rows,phase1_input_path,phase1_input_sha256,output_path,output_sha256,output_bytes,validation_path,validation_sha256,status
0,0000,5412,2543640,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0000.csv.gz,31c4e1c60e6765c56a3db8953bf4ad1cf77fee02a9076adebdeae60e3e713189,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0000.csv.gz,1bec40688727e3ebcef7677ba274568de45d7614e378f00230b2102b01557a6c,551091318,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0000_validation.csv,c545f1e602de3843fb2429a36d28df2888fce380abd1ead0d4cdb8adf864e401,complete
1,0001,671,315370,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0001.csv.gz,76057009b0dc18a0be105ee36f86b937eaf71076212fb1e9520a8a9e6c5550ca,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0001.csv.gz,11823cb7763032fe46308d7fe1412c1a155ffa8b37ce6feec44250ba12330c57,67294787,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0001_validation.csv,97908018f8105b111729c57413ba606ebe729cd6ae4f4adef3a2445b63825cf8,complete
2,0002,416,195520,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0002.csv.gz,839c7dc46809a5a4a4e01f10b0d146f7384418bd021ac4a5f9b1e1d939ce79e9,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0002.csv.gz,9bc115df696d07822e8992ffbce9cba6ee0c2b6f347a8102ed6b26c368f5393b,41383633,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0002_validation.csv,f1b056f23f02d95bf6693716d393428d25966ddc4bad7a58f07a799157905b9f,complete
3,0003,405,190350,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0003.csv.gz,edbdf4228c72801ae1835d3e0ea30d7ae6c08175f0e16fd540ffdcc6c44d7a2c,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0003.csv.gz,91fcfaf420cab97be16ae189f7284fbf4ca6e44a7269192b066d1730f4eefb4f,40214714,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0003_validation.csv,66634ac9758e55daa80d2b7b5da199c6061458795467bfd5ea7d1e2fd4e4ab83,complete
4,0004,372,174840,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0004.csv.gz,ac097b57c21b7e39e40daae26dbd3bc968fd1b46c02166c1a2a26acd56b5fd99,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0004.csv.gz,d4d825a89ffde86acd29ed30bb12a92692e2439b6d4be6235d0bebfd82ebd346,36975167,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0004_validation.csv,3a3b9da777db9e740113d31cb6ad5f83442cd7082d12b11a4f3428db64132597,complete
5,0005,387,181890,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0005.csv.gz,93eff9d8da68fc97190a34292ea7486185f0881dacf9410d91d71be253ebe877,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0005.csv.gz,621e222c60fc6b0f914947784686ae62c185905e3dd41670f32ae7495c706518,38525714,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0005_validation.csv,0a75053f56e96e7d47eb5681231e46c16e3278e150e7068036e56d6d1b842802,complete
6,0006,365,171550,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0006.csv.gz,cd794fe2e7fb5317996e57fe30133fc257033f777e4d1c773b1f9f0060bdfa1b,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0006.csv.gz,5ee47bc1d057089d2da4e1822c6d2ffe3a0dc03e2f40e7bc7d72db4be429ea4b,36259507,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0006_validation.csv,228a39f6d68bb859624dae318c9faf66ab192650bffa7f95d6b66eb7c41dbee7,complete
7,0007,334,156980,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0007.csv.gz,bb2d591aa820c9a6325559a8009c73c2179565f8f86079f4b08fdaa1ba892b7a,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0007.csv.gz,0dd639d5317c09e4819e8c18d081f15b27215e0c94f1d4998c441089335c1458,33241909,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0007_validation.csv,5d5617f16a039bb52f18c94633e481e5f72fd08e501e93d274c83caf308166f0,complete
8,0008,324,152280,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0008.csv.gz,19cbd9bbaabcbedc4bec19d4974736ad58aeb67931d2bcbc2f72debbd39e068a,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0008.csv.gz,047e0675103e823af56da2183c01a93bbdb836c9a57e3e9a0c4131251b9dc0dc,32169897,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0008_validation.csv,165a18902d0a64105adeed9914a68c593fdd5b172a25259bb7898239c5f1b4c1,complete
9,0009,321,150870,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0009.csv.gz,2e10c2cee79db5ca0951056630e496455bd685f8b9a51b59a1285aa96c8a5f91,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0009.csv.gz,da1fa9d207aa01af9958a5dc5354229628f2d38e3f1fdd60e010acaba54c3b7c,32010672,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0009_validation.csv,5de495140f389cbcb4d616739960b6f3534054c4358d57fb9538ebdb80dfdacb,complete
10,0010,312,146640,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0010.csv.gz,4d0ed3ed915a6f68e34d0624da46104e4da23d896a2c37b36dd2e1d2986ccf03,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0010.csv.gz,f78781250b067d44d7520ae406e464af6e81956484f1a403c4098aaeeb365747,31145481,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0010_validation.csv,9b8f06868181c2944d70d23af796d71b664698599bfae34bd83100a10184192d,complete
11,0011,299,140530,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0011.csv.gz,347bd8bca0628965b4c860d8a204378c9b5d7148c8afe411e710b8b94b07760f,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0011.csv.gz,f33ea050aa492d7c2212dc39ac22067182786476b6f80454d2f5e6e8b40ec868,29816565,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0011_validation.csv,dc77d3de6cc131d69b2df939edb460779298f5bf765b43661f322ef5e43094b6,complete
12,0012,294,138180,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0012.csv.gz,a875859650dba5d615b3e672cca53796d611bf9605c9d5d4d2f27ade0a80f0ce,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0012.csv.gz,d4e8ce69594c0f0abb7b9a32fb161c0f0ecf98f01068beeab13123d1c2993a1a,29291328,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0012_validation.csv,f55879bd5e9683203fe8d331e946e58b151518faa6c2d596a7fa91ed7326b0ca,complete
13,0013,273,128310,data/metadata/notebook_4_full_baseline_fields_work/field_chunks/full_fields_chunk_0013.csv.gz,d0f4abca9138a0e1982699060ba983698afd4cf46ce01877849f79d506743700,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/field_chunks/paired_fields_chunk_0013.csv.gz,7ebcbd5da5d516209e2ba030230d1ec416a343ee1d321eec3799c07175d55d2b,27307350,data/metadata/phase_2/notebook_9_correlated_ground_motion_work/chunk_validation/paired_fields_chunk_0013_validation.csv,1b8edd9276918c91f4285189d45d13fdf994e639abca7aa8e503999d178bc311,complete
