case_name,case_prefix,imt,site_i,site_j,distance_km,target_correlation,empirical_correlation,absolute_error
I0_PHASE1_INDEPENDENT,i0,PGA,24,65,0.0,0.0,-0.005899513340712664,0.005899513340712664
I0_PHASE1_INDEPENDENT,i0,PGA,67,198,0.20736795464793495,0.0,0.0013716468279325671,0.0013716468279325671
I0_PHASE1_INDEPENDENT,i0,PGA,219,303,0.7116168883685037,0.0,-0.008938857912367012,0.008938857912367012
I0_PHASE1_INDEPENDENT,i0,PGA,92,375,1.241546911367865,0.0,-0.005466474461882481,0.005466474461882481
I0_PHASE1_INDEPENDENT,i0,PGA,35,98,1.9186859023464586,0.0,-0.005595339208202889,0.005595339208202889
I0_PHASE1_INDEPENDENT,i0,PGA,226,393,3.177775145099253,0.0,0.0036414855163319406,0.0036414855163319406
I0_PHASE1_INDEPENDENT,i0,PGA,27,394,6.424394048363715,0.0,0.01872670545504215,0.01872670545504215
I0_PHASE1_INDEPENDENT,i0,SA0P4,24,65,0.0,0.0,0.007963191026362833,0.007963191026362833
I0_PHASE1_INDEPENDENT,i0,SA0P4,67,198,0.20736795464793495,0.0,0.0074811033333725884,0.0074811033333725884
I0_PHASE1_INDEPENDENT,i0,SA0P4,219,303,0.7116168883685037,0.0,-0.0018602155624795873,0.0018602155624795873
I0_PHASE1_INDEPENDENT,i0,SA0P4,92,375,1.241546911367865,0.0,0.004383069538703107,0.004383069538703107
I0_PHASE1_INDEPENDENT,i0,SA0P4,35,98,1.9186859023464586,0.0,0.0023950359138440857,0.0023950359138440857
I0_PHASE1_INDEPENDENT,i0,SA0P4,226,393,3.177775145099253,0.0,0.014050571327487483,0.014050571327487483
I0_PHASE1_INDEPENDENT,i0,SA0P4,27,394,6.424394048363715,0.0,0.019972898023598955,0.019972898023598955
C1_ALDEA22_SUBDUCTION,c1,PGA,24,65,0.0,1.0,1.0,0.0
C1_ALDEA22_SUBDUCTION,c1,PGA,67,198,0.20736795464793495,0.9213363205347975,0.9225974816178097,0.0012611610830122189
C1_ALDEA22_SUBDUCTION,c1,PGA,219,303,0.7116168883685037,0.844013698680587,0.8447114245265113,0.000697725845924313
C1_ALDEA22_SUBDUCTION,c1,PGA,92,375,1.241546911367865,0.7901698925315723,0.7924707881823618,0.002300895650789503
C1_ALDEA22_SUBDUCTION,c1,PGA,35,98,1.9186859023464586,0.7375172998942208,0.746314268050174,0.008796968155953211
C1_ALDEA22_SUBDUCTION,c1,PGA,226,393,3.177775145099253,0.6636283590384431,0.6637391610230606,0.00011080198461754787
C1_ALDEA22_SUBDUCTION,c1,PGA,27,394,6.424394048363715,0.5373333648693212,0.5439010845255892,0.006567719656268012
C1_ALDEA22_SUBDUCTION,c1,SA0P4,24,65,0.0,1.0,1.0,0.0
C1_ALDEA22_SUBDUCTION,c1,SA0P4,67,198,0.20736795464793495,0.8874055954893497,0.8881085947659632,0.0007029992766134363
C1_ALDEA22_SUBDUCTION,c1,SA0P4,219,303,0.7116168883685037,0.7809414465785018,0.7802810301775894,0.0006604164009124114
C1_ALDEA22_SUBDUCTION,c1,SA0P4,92,375,1.241546911367865,0.7093780041359355,0.7113180689512384,0.0019400648153028444
C1_ALDEA22_SUBDUCTION,c1,SA0P4,35,98,1.9186859023464586,0.6415248969731276,0.6554476959955068,0.01392279902237914
C1_ALDEA22_SUBDUCTION,c1,SA0P4,226,393,3.177775145099253,0.5500076795382977,0.5542794133742871,0.004271733835989444
C1_ALDEA22_SUBDUCTION,c1,SA0P4,27,394,6.424394048363715,0.40429539885863247,0.41789677793948143,0.013601379080848963
C2_GODA_ATKINSON09,c2,PGA,24,65,0.0,1.0,1.0,0.0
C2_GODA_ATKINSON09,c2,PGA,67,198,0.20736795464793495,0.8518590551794827,0.8537174948158431,0.0018584396363604538
C2_GODA_ATKINSON09,c2,PGA,219,303,0.7116168883685037,0.7694219212733759,0.7697476150215278,0.00032569374815183405
C2_GODA_ATKINSON09,c2,PGA,92,375,1.241546911367865,0.7201059294978673,0.724309411173871,0.004203481676003706
C2_GODA_ATKINSON09,c2,PGA,35,98,1.9186859023464586,0.6753698823415932,0.6848713985554511,0.009501516213857863
C2_GODA_ATKINSON09,c2,PGA,226,393,3.177775145099253,0.6161601929598417,0.6167172449462068,0.0005570519863651313
C2_GODA_ATKINSON09,c2,PGA,27,394,6.424394048363715,0.5196150966683384,0.5277691615429877,0.008154064874649314
C2_GODA_ATKINSON09,c2,SA0P4,24,65,0.0,1.0,1.0,0.0
C2_GODA_ATKINSON09,c2,SA0P4,67,198,0.20736795464793495,0.8518590551794827,0.853260352184838,0.0014012970053552953
C2_GODA_ATKINSON09,c2,SA0P4,219,303,0.7116168883685037,0.7694219212733759,0.770136447088982,0.0007145258156060486
C2_GODA_ATKINSON09,c2,SA0P4,92,375,1.241546911367865,0.7201059294978673,0.7227960711726887,0.0026901416748214
C2_GODA_ATKINSON09,c2,SA0P4,35,98,1.9186859023464586,0.6753698823415932,0.6888069468901559,0.013437064548562638
C2_GODA_ATKINSON09,c2,SA0P4,226,393,3.177775145099253,0.6161601929598417,0.6194488975723673,0.003288704612525617
C2_GODA_ATKINSON09,c2,SA0P4,27,394,6.424394048363715,0.5196150966683384,0.5326078188887028,0.012992722220364405
