target_group,official_tree_id,official_tree_name,tree_path,official_tree_type,official_branch_index,official_branch_weight,rupture_set_id,rupture_set_name,rupture_set_type,official_rupture_set_weight,official_source_count,official_rupture_count,official_iterated_raw_rate_sum,official_total_mfd_rate_sum,official_iterated_weighted_rate_sum,official_weighted_total_mfd_rate_sum,tree_path_key,csv_tree_id,csv_tree_name,csv_tree_type,csv_branch_index,csv_branch_weight,csv_rupture_set_weight,csv_rupture_count,csv_raw_rate_sum,csv_weighted_rate_sum,csv_source_count,_merge,rupture_count_matches,source_count_matches,raw_rate_matches_csv,weighted_rate_matches_csv,official_branch_and_set_weights_match,csv_branch_and_set_weights_match,official_and_csv_weights_match,deprecated_total_mfd_matches_iteration,raw_rate_absolute_difference,weighted_rate_absolute_difference
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,10,0.18,3110,"Cascadia (segmented, 1, bottom)",INTERFACE,0.18,1,3.0,0.0004348,0.0004348,7.8264e-05,7.8264e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,8,0.18,0.18,3,0.0004348,7.826400000000001e-05,1,both,True,True,True,True,True,True,True,True,0.0,1.3552527156068805e-20
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,14,0.3,3111,"Cascadia (segmented, 1, middle)",INTERFACE,0.3,1,3.0,0.0004348,0.0004348,0.00013044,0.00013044,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,17,0.3,0.3,3,0.0004348,0.00013044,1,both,True,True,True,True,True,True,True,True,0.0,0.0
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,15,0.12,3112,"Cascadia (segmented, 1, top)",INTERFACE,0.12,1,3.0,0.0004348,0.0004348,5.2176e-05,5.2176e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,14,0.12,0.12,3,0.0004348,5.2175999999999996e-05,1,both,True,True,True,True,True,True,True,True,0.0,6.776263578034403e-21
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,0,0.0375,3140,"Cascadia (segmented, 4, bottom)",INTERFACE,0.0375,1,3.0,0.001,0.001,3.75e-05,3.75e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,3,0.0375,0.0375,3,0.001,3.7500000000000003e-05,1,both,True,True,True,True,True,True,True,True,0.0,6.776263578034403e-21
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,9,0.0625,3141,"Cascadia (segmented, 4, middle)",INTERFACE,0.0625,1,3.0,0.001,0.001,6.25e-05,6.25e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,18,0.0625,0.0625,3,0.001,6.25e-05,1,both,True,True,True,True,True,True,True,True,0.0,0.0
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,3,0.025,3142,"Cascadia (segmented, 4, top)",INTERFACE,0.025,1,3.0,0.001,0.001,2.5e-05,2.5e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,2,0.025,0.025,3,0.001,2.5000000000000005e-05,1,both,True,True,True,True,True,True,True,True,0.0,3.3881317890172014e-21
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,11,0.18,3150,"Cascadia (segmented, 1-2, bottom)",INTERFACE,0.18,1,3.0,0.0003913,0.0003913,7.0434e-05,7.0434e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,16,0.18,0.18,3,0.0003913,7.0434e-05,1,both,True,True,True,True,True,True,True,True,0.0,0.0
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,4,0.3,3151,"Cascadia (segmented, 1-2, middle)",INTERFACE,0.3,1,3.0,0.0003913,0.0003913,0.00011739,0.00011739,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,7,0.3,0.3,3,0.0003913,0.00011739,1,both,True,True,True,True,True,True,True,True,0.0,0.0
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,18,0.12,3152,"Cascadia (segmented, 1-2, top)",INTERFACE,0.12,1,3.0,0.0003913,0.0003913,4.6956e-05,4.6956e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,4,0.12,0.12,3,0.0003913,4.6956e-05,1,both,True,True,True,True,True,True,True,True,0.0,0.0
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,19,0.18,3160,"Cascadia (segmented, 1-2-3, bottom)",INTERFACE,0.18,1,3.0,0.0001739,0.0001739,3.1302000000000006e-05,3.1302e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,5,0.18,0.18,3,0.0001739,3.1302e-05,1,both,True,True,True,True,True,True,True,True,0.0,6.776263578034403e-21
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,13,0.135,3160,"Cascadia (unsegmented, 1-2-3, bottom)",INTERFACE,0.135,1,1184.0,0.0009999999354579,0.0009999999354579,0.0001349999912868,0.0001349999912868,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,1,0.135,0.135,1184,0.0009999999354579024,0.00013499999128681683,1,both,True,True,True,True,True,True,True,True,2.3852447794681098e-18,1.6832238727837456e-17
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,16,0.3,3161,"Cascadia (segmented, 1-2-3, middle)",INTERFACE,0.3,1,3.0,0.0001739,0.0001739,5.217e-05,5.217e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,19,0.3,0.3,3,0.0001739,5.2170000000000004e-05,1,both,True,True,True,True,True,True,True,True,0.0,6.776263578034403e-21
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,7,0.225,3161,"Cascadia (unsegmented, 1-2-3, middle)",INTERFACE,0.225,1,1184.0,0.0009999999354579,0.0009999999354579,0.000224999985478,0.000224999985478,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,9,0.225,0.225,1184,0.0009999999354579024,0.0002249999854780281,1,both,True,True,True,True,True,True,True,True,2.3852447794681098e-18,2.81079413216867e-17
cascadia_interface,3199,Cascadia Subduction Zone,C:/Users/USER/Documents/GitHub/seismic-correlation-insurance-loss/data/raw/usgs_nshm_conus_2018/nshm-conus-5.2.4/nshm-conus-5.2.4/subduction/interface/Cascadia,INTERFACE,6,0.12,3162,"Cascadia (segmented, 1-2-3, top)",INTERFACE,0.12,1,3.0,0.0001739,0.0001739,2.0868e-05,2.0868e-05,/subduction/interface/cascadia,3199,Cascadia Subduction Zone,INTERFACE,20,0.12,0.12,3,0.0001739,2.0868e-05,1,both,True,True,True,True,True,True,True,True,0.0,0.0
